iter	RMSE
0	0.8844829793
1	0.8774552962
2	0.8708465014
3	0.8639523327
4	0.8571464946
5	0.8505726002
6	0.8437918308
7	0.8371952976
8	0.8309259057
9	0.8243737279
10	0.8181216701
11	0.8120740031
12	0.8054901891
13	0.7992369855
14	0.7932914285
15	0.7876161762
16	0.7814183939
17	0.7752745094
18	0.7691592795
19	0.7634620134
20	0.7576294382
21	0.7519288129
22	0.7465757413
23	0.7408515822
24	0.7353315284
25	0.730009502
26	0.7246663179
27	0.7194154867
28	0.7139709039
29	0.7087153816
30	0.7035375513
31	0.698814907
32	0.6938599539
33	0.6888928276
34	0.6840720587
35	0.6794307894
36	0.6747055237
37	0.6696786486
38	0.6649431481
39	0.6601833966
40	0.6554515233
41	0.6512530752
42	0.6466743851
43	0.6423656423
44	0.6376575357
45	0.6332096424
46	0.6289116994
47	0.6246666285
48	0.6202476938
49	0.6160571723
50	0.6119068223
51	0.6077416628
52	0.6036345438
53	0.5996070958
54	0.595527653
55	0.5916589697
56	0.5879123608
57	0.5841405154
58	0.5800237064
59	0.5761011783
60	0.5722134158
61	0.5682713937
62	0.564614387
63	0.5610054052
64	0.557322132
65	0.5538052302
66	0.5502098335
67	0.5466806904
68	0.5432287104
69	0.5398906277
70	0.5363138589
71	0.5331578251
72	0.529735606
73	0.5265193527
74	0.5231603771
75	0.5204016043
76	0.5170547794
77	0.5138317789
78	0.5107197863
79	0.507507406
80	0.5042943692
81	0.5011416007
82	0.4983073367
83	0.4954303497
84	0.4923545688
85	0.4894351219
86	0.4865243818
87	0.4836946957
88	0.4809740875
89	0.4781910173
90	0.4755801173
91	0.4729552139
92	0.4704414887
93	0.4676200071
94	0.4651663675
95	0.4628763058
96	0.4602749678
97	0.4577957207
98	0.4552967791
99	0.4526341444
100	0.4504412459
101	0.4478845734
102	0.4454524285
103	0.4429679971
104	0.4405764913
105	0.4383047476
106	0.4359636162
107	0.4337813231
108	0.4313292629
109	0.4290020555
110	0.4266599348
111	0.4244249221
112	0.4221346762
113	0.4198875601
114	0.4176701297
115	0.415558232
116	0.4134440375
117	0.411414697
118	0.4094880765
119	0.4074633599
120	0.4056896202
121	0.4036680212
122	0.4018967301
123	0.4000651255
124	0.3980953293
125	0.3960900383
126	0.3942990965
127	0.3924473815
128	0.390537655
129	0.3887183939
130	0.3870940889
131	0.3853273683
132	0.3837105095
133	0.3820673728
134	0.3802920402
135	0.3785714064
136	0.3769176068
137	0.3753037155
138	0.3736023377
139	0.3719805733
140	0.3704121978
141	0.369016796
142	0.3675702445
143	0.3659913568
144	0.3643562106
145	0.3627722429
146	0.3613151014
147	0.3597881344
148	0.3582097921
149	0.3567373492
150	0.3553836591
151	0.3539179784
152	0.3524646795
153	0.3510172537
154	0.3496395513
155	0.3481928908
156	0.3467762447
157	0.3454513019
158	0.3440735089
159	0.342741888
160	0.3413768478
161	0.3400563295
162	0.3388796796
163	0.337722015
164	0.3364136257
165	0.3351276039
166	0.3339225893
167	0.3327732368
168	0.3316373284
169	0.3305320986
170	0.3293841655
171	0.3281584925
172	0.3269843728
173	0.3258670195
174	0.3247015894
175	0.3234686607
176	0.3224340289
177	0.3214383213
178	0.3203785743
179	0.3192669635
180	0.3182068371
181	0.3171898657
182	0.3162164427
183	0.3153255308
184	0.3142872932
185	0.3133216184
186	0.3123569641
187	0.3113402511
188	0.3104842084
189	0.3095395203
190	0.3085938795
191	0.3076942956
192	0.3068052332
193	0.3059141795
194	0.3049801258
195	0.3041180099
196	0.3032301664
197	0.3022831891
198	0.3014218789
199	0.3006313382
200	0.2997983454
201	0.2990011591
202	0.2982049603
203	0.297481024
204	0.2966672639
205	0.2958226672
206	0.2950499795
207	0.2942337551
208	0.2934667312
209	0.2927094844
210	0.2919812276
211	0.2912221338
212	0.2904524304
213	0.2897527952
214	0.2890312542
215	0.288263301
216	0.2875142431
217	0.28685438
218	0.2861419097
219	0.2854947685
220	0.284793997
221	0.2841370878
222	0.2834976138
223	0.2828790598
224	0.2822487209
225	0.2816489788
226	0.2810614507
227	0.2804079809
228	0.2798092997
229	0.2791698865
230	0.2785560064
231	0.2779908753
232	0.2774679513
233	0.2767529479
234	0.2762169494
235	0.2755606528
236	0.2750314278
237	0.2745759574
238	0.2740306879
