iter	Passed	Remaining
0	5	56016
1	11	57719
2	17	58361
3	23	59194
4	30	60196
5	37	61743
6	42	61326
7	50	63113
8	56	62963
9	62	62753
10	68	62389
11	74	62104
12	81	62507
13	87	62459
14	93	62192
15	99	61996
16	109	64233
17	115	64160
18	121	63956
19	127	63624
20	133	63334
21	139	63344
22	145	62906
23	150	62593
24	156	62380
25	162	62148
26	167	61804
27	172	61398
28	177	61166
29	183	60924
30	188	60640
31	193	60294
32	198	59942
33	203	59690
34	208	59363
35	213	59042
36	218	58743
37	223	58538
38	228	58251
39	232	58008
40	237	57795
41	242	57557
42	247	57301
43	252	57034
44	257	56877
45	262	56711
46	266	56496
47	271	56384
48	276	56207
49	281	55981
50	286	55869
51	291	55713
52	296	55613
53	301	55524
54	306	55404
55	311	55337
56	316	55189
57	321	55084
58	326	54987
59	331	54849
60	335	54703
61	340	54576
62	345	54457
63	350	54341
64	354	54248
65	359	54110
66	364	53995
67	369	53929
68	374	53847
69	379	53777
70	383	53689
71	388	53637
72	394	53680
73	399	53604
74	405	53664
75	410	53541
76	415	53562
77	420	53494
78	425	53455
79	430	53359
80	435	53344
81	441	53344
82	445	53278
83	451	53252
84	455	53190
85	461	53162
86	466	53107
87	471	53078
88	475	52985
89	481	52964
90	485	52883
91	490	52823
92	495	52801
93	502	52925
94	508	52970
95	513	52964
96	518	52969
97	525	53065
98	530	53096
99	537	53185
100	542	53193
101	548	53225
102	553	53231
103	559	53267
104	565	53245
105	569	53186
106	575	53169
107	580	53148
108	585	53135
109	590	53112
110	595	53074
111	600	53051
112	606	53025
113	611	53004
114	616	53026
115	622	53053
116	628	53076
117	634	53110
118	639	53123
119	645	53137
120	650	53133
121	656	53154
122	662	53162
123	667	53194
124	673	53175
125	678	53161
126	683	53146
127	688	53133
128	694	53130
129	699	53128
130	704	53107
131	710	53089
132	715	53084
133	720	53060
134	725	53048
135	731	53038
136	736	53023
137	741	52990
138	746	52959
139	751	52928
140	756	52919
141	761	52867
142	766	52828
143	771	52798
144	776	52784
145	781	52770
146	786	52747
147	792	52752
148	797	52745
149	803	52731
150	807	52700
151	813	52675
152	818	52649
153	823	52637
154	828	52645
155	833	52598
156	838	52586
157	843	52563
158	849	52553
159	854	52550
160	859	52527
161	864	52499
162	869	52494
163	874	52464
164	879	52414
165	884	52412
166	889	52384
167	894	52368
168	899	52334
169	904	52299
170	909	52273
171	914	52247
172	919	52221
173	924	52206
174	929	52188
175	934	52168
176	939	52146
177	944	52115
178	949	52102
179	954	52087
180	959	52054
181	964	52036
182	969	52029
183	974	51988
184	979	51979
185	984	51937
186	989	51918
187	994	51895
188	999	51861
189	1004	51845
190	1008	51803
191	1013	51773
192	1018	51758
193	1023	51738
194	1028	51706
195	1034	51730
196	1039	51708
197	1044	51698
198	1049	51675
199	1054	51681
200	1059	51653
201	1064	51640
202	1069	51614
203	1074	51593
204	1079	51590
205	1084	51579
206	1089	51547
207	1094	51528
208	1099	51517
209	1104	51504
210	1109	51485
211	1114	51476
212	1120	51479
213	1125	51474
214	1131	51491
215	1136	51491
216	1142	51488
217	1147	51478
218	1152	51457
219	1156	51431
220	1162	51433
221	1167	51418
222	1172	51398
223	1177	51389
224	1184	51461
225	1190	51502
226	1195	51489
227	1201	51485
228	1206	51476
229	1211	51466
230	1216	51460
231	1222	51480
232	1228	51503
233	1236	51598
234	1243	51663
235	1250	51735
236	1257	51785
237	1263	51835
238	1269	51845
239	1274	51838
240	1280	51844
241	1286	51860
242	1291	51861
243	1296	51853
244	1301	51818
245	1306	51807
246	1311	51799
247	1317	51798
248	1322	51786
249	1327	51768
250	1332	51745
251	1337	51721
252	1342	51702
253	1347	51711
254	1352	51681
255	1358	51714
256	1363	51694
257	1369	51719
258	1374	51681
259	1379	51678
260	1384	51656
261	1389	51643
262	1395	51647
263	1400	51652
264	1405	51644
265	1410	51626
266	1416	51633
267	1422	51651
268	1428	51668
269	1433	51674
270	1439	51684
271	1445	51693
272	1450	51691
273	1456	51703
274	1461	51690
275	1467	51703
276	1472	51702
277	1477	51680
278	1483	51678
279	1488	51675
280	1493	51654
281	1498	51634
282	1503	51628
283	1508	51605
284	1513	51606
285	1518	51583
286	1524	51587
287	1529	51592
288	1535	51610
289	1541	51599
290	1546	51591
291	1551	51571
292	1556	51559
293	1561	51557
294	1566	51541
295	1572	51540
296	1577	51530
297	1582	51529
298	1587	51518
299	1592	51495
300	1597	51491
301	1603	51497
302	1609	51503
303	1615	51520
304	1620	51521
305	1626	51531
306	1632	51533
307	1637	51533
308	1643	51533
309	1647	51509
310	1652	51486
311	1657	51481
312	1663	51475
313	1668	51468
314	1673	51462
315	1678	51453
316	1684	51439
317	1689	51431
318	1694	51415
319	1699	51396
320	1704	51387
321	1709	51369
322	1714	51358
323	1719	51347
324	1724	51339
325	1730	51337
326	1735	51340
327	1740	51317
328	1745	51310
329	1750	51305
330	1755	51291
331	1760	51272
332	1765	51257
333	1770	51242
334	1775	51225
335	1780	51211
336	1785	51199
337	1790	51184
338	1794	51153
339	1799	51140
340	1805	51131
341	1809	51109
342	1814	51092
343	1819	51072
344	1824	51065
345	1829	51047
346	1834	51032
347	1839	51024
348	1844	50998
349	1849	50983
350	1854	50975
351	1858	50950
352	1863	50933
353	1868	50916
354	1873	50898
355	1878	50882
356	1883	50881
357	1888	50866
358	1893	50858
359	1898	50844
360	1904	50845
361	1908	50818
362	1913	50799
363	1918	50794
364	1924	50800
365	1929	50786
366	1934	50784
367	1939	50765
368	1944	50749
369	1949	50743
370	1955	50744
371	1960	50739
372	1966	50744
373	1971	50742
374	1976	50720
375	1983	50763
376	1989	50788
377	1995	50789
378	2001	50809
379	2007	50809
380	2014	50854
381	2021	50890
382	2027	50909
383	2033	50924
384	2039	50930
385	2045	50942
386	2051	50959
387	2057	50960
388	2062	50952
389	2067	50942
390	2072	50935
391	2078	50943
392	2084	50950
393	2089	50951
394	2095	50948
395	2100	50947
396	2106	50949
397	2112	50955
398	2117	50948
399	2122	50950
400	2128	50949
401	2133	50940
402	2139	50939
403	2144	50926
404	2149	50927
405	2154	50916
406	2160	50915
407	2165	50909
408	2170	50901
409	2176	50898
410	2181	50888
411	2186	50874
412	2190	50852
413	2195	50840
414	2200	50824
415	2205	50808
416	2210	50796
417	2215	50777
418	2220	50772
419	2225	50770
420	2230	50744
421	2235	50736
422	2239	50708
423	2245	50708
424	2250	50699
425	2255	50696
426	2260	50688
427	2265	50671
428	2270	50656
429	2275	50647
430	2280	50633
431	2285	50620
432	2290	50604
433	2295	50589
434	2300	50578
435	2305	50566
436	2310	50569
437	2316	50576
438	2322	50571
439	2327	50562
440	2331	50542
441	2336	50532
442	2342	50525
443	2346	50510
444	2351	50495
445	2356	50489
446	2362	50487
447	2369	50521
448	2375	50521
449	2380	50525
450	2386	50524
451	2392	50548
452	2399	50577
453	2405	50580
454	2412	50600
455	2417	50600
456	2423	50603
457	2429	50620
458	2436	50641
459	2442	50651
460	2447	50649
461	2453	50654
462	2459	50654
463	2464	50657
464	2470	50653
465	2476	50657
466	2481	50658
467	2486	50648
468	2491	50639
469	2497	50639
470	2502	50628
471	2507	50612
472	2512	50602
473	2517	50597
474	2523	50601
475	2529	50610
476	2534	50598
477	2540	50605
478	2546	50609
479	2551	50613
480	2557	50612
481	2562	50603
482	2567	50596
483	2572	50587
484	2577	50576
485	2583	50570
486	2587	50549
487	2592	50531
488	2597	50520
489	2602	50515
490	2608	50523
491	2614	50522
492	2619	50519
493	2625	50518
494	2630	50507
495	2635	50498
496	2640	50479
497	2645	50470
498	2649	50455
499	2654	50441
500	2659	50430
501	2664	50419
502	2670	50412
503	2675	50409
504	2680	50393
505	2684	50372
506	2689	50357
507	2694	50343
508	2698	50326
509	2703	50311
510	2708	50302
511	2713	50291
512	2718	50269
513	2723	50258
514	2728	50248
515	2733	50235
516	2738	50223
517	2742	50203
518	2747	50184
519	2751	50170
520	2756	50148
521	2761	50138
522	2765	50114
523	2770	50095
524	2775	50089
525	2780	50077
526	2785	50069
527	2790	50055
528	2795	50042
529	2800	50035
530	2804	50015
531	2809	50001
532	2814	49988
533	2818	49965
534	2823	49955
535	2829	49952
536	2834	49954
537	2840	49950
538	2845	49941
539	2850	49932
540	2855	49925
541	2861	49925
542	2865	49908
543	2871	49913
544	2877	49919
545	2883	49920
546	2888	49925
547	2894	49929
548	2900	49935
549	2906	49930
550	2911	49935
551	2917	49932
552	2923	49935
553	2928	49929
554	2934	49938
555	2939	49933
556	2945	49930
557	2950	49927
558	2956	49932
559	2962	49936
560	2967	49936
561	2973	49934
562	2978	49920
563	2983	49910
564	2988	49903
565	2992	49881
566	2997	49871
567	3001	49840
568	3006	49829
569	3011	49819
570	3016	49808
571	3020	49792
572	3025	49773
573	3030	49762
574	3035	49753
575	3039	49735
576	3044	49721
577	3049	49713
578	3054	49700
579	3059	49688
580	3063	49669
581	3068	49651
582	3073	49642
583	3077	49618
584	3082	49602
585	3086	49591
586	3091	49575
587	3096	49560
588	3101	49553
589	3105	49537
590	3110	49526
591	3115	49517
592	3120	49505
593	3125	49495
594	3130	49476
595	3135	49470
596	3140	49459
597	3144	49436
598	3148	49416
599	3154	49413
600	3158	49402
601	3164	49398
602	3169	49398
603	3175	49401
604	3181	49400
605	3186	49394
606	3191	49388
607	3196	49383
608	3202	49382
609	3207	49381
610	3212	49372
611	3217	49361
612	3223	49358
613	3228	49347
614	3233	49338
615	3238	49327
616	3243	49319
617	3247	49304
618	3252	49294
619	3257	49279
620	3262	49266
621	3266	49256
622	3272	49249
623	3277	49245
624	3281	49220
625	3286	49213
626	3291	49201
627	3296	49190
628	3300	49177
629	3305	49164
630	3310	49149
631	3314	49134
632	3319	49127
633	3325	49123
634	3330	49117
635	3336	49119
636	3341	49118
637	3346	49111
638	3351	49091
639	3355	49077
640	3360	49068
641	3365	49061
642	3370	49045
643	3375	49036
644	3380	49033
645	3386	49031
646	3391	49031
647	3397	49031
648	3403	49031
649	3408	49034
650	3414	49032
651	3419	49031
652	3425	49027
653	3430	49024
654	3435	49019
655	3441	49014
656	3446	49007
657	3450	48993
658	3456	48987
659	3460	48975
660	3465	48969
661	3470	48954
662	3475	48938
663	3479	48919
664	3484	48911
665	3488	48894
666	3493	48888
667	3498	48877
668	3504	48873
669	3509	48867
670	3514	48856
671	3518	48840
672	3523	48825
673	3527	48810
674	3532	48800
675	3537	48792
676	3542	48781
677	3547	48778
678	3552	48771
679	3557	48763
680	3562	48753
681	3567	48738
682	3572	48731
683	3577	48724
684	3582	48717
685	3587	48707
686	3592	48701
687	3597	48693
688	3602	48678
689	3607	48670
690	3612	48668
691	3618	48669
692	3622	48650
693	3627	48638
694	3631	48620
695	3636	48614
696	3641	48608
697	3646	48594
698	3651	48581
699	3656	48582
700	3661	48571
701	3666	48565
702	3671	48553
703	3676	48544
704	3680	48531
705	3685	48521
706	3691	48519
707	3697	48522
708	3703	48526
709	3707	48514
710	3713	48514
711	3719	48521
712	3724	48514
713	3730	48512
714	3735	48506
715	3740	48497
716	3745	48490
717	3750	48480
718	3755	48473
719	3760	48464
720	3764	48451
721	3769	48439
722	3774	48433
723	3779	48427
724	3784	48421
725	3789	48405
726	3793	48388
727	3798	48379
728	3802	48362
729	3807	48348
730	3812	48340
731	3817	48329
732	3822	48321
733	3827	48316
734	3832	48311
735	3838	48308
736	3843	48306
737	3849	48306
738	3854	48302
739	3859	48297
740	3865	48294
741	3869	48284
742	3874	48271
743	3879	48260
744	3884	48251
745	3889	48244
746	3894	48236
747	3899	48229
748	3904	48221
749	3908	48209
750	3914	48203
751	3919	48195
752	3923	48184
753	3928	48176
754	3933	48170
755	3938	48155
756	3943	48147
757	3948	48140
758	3952	48128
759	3958	48122
760	3963	48118
761	3968	48117
762	3974	48111
763	3979	48105
764	3984	48101
765	3989	48091
766	3994	48084
767	3999	48078
768	4004	48073
769	4010	48070
770	4015	48061
771	4020	48057
772	4025	48045
773	4029	48036
774	4034	48026
775	4039	48018
776	4044	48013
777	4050	48007
778	4055	48001
779	4060	47991
780	4065	47985
781	4070	47979
782	4075	47974
783	4080	47967
784	4085	47959
785	4090	47952
786	4095	47944
787	4100	47931
788	4105	47928
789	4111	47927
790	4116	47921
791	4121	47920
792	4127	47921
793	4133	47920
794	4138	47921
795	4144	47921
796	4150	47926
797	4156	47932
798	4162	47931
799	4167	47931
800	4173	47931
801	4180	47941
802	4187	47955
803	4193	47960
804	4198	47960
805	4204	47957
806	4210	47962
807	4216	47964
808	4222	47968
809	4227	47962
810	4232	47959
811	4238	47956
812	4243	47955
813	4249	47954
814	4254	47950
815	4259	47942
816	4264	47937
817	4269	47927
818	4274	47921
819	4280	47917
820	4285	47912
821	4290	47905
822	4295	47897
823	4300	47891
824	4305	47886
825	4310	47880
826	4316	47877
827	4322	47883
828	4327	47876
829	4333	47878
830	4339	47882
831	4345	47883
832	4351	47883
833	4357	47887
834	4363	47891
835	4369	47896
836	4375	47898
837	4381	47901
838	4387	47903
839	4393	47907
840	4399	47916
841	4405	47916
842	4411	47920
843	4417	47925
844	4423	47929
845	4429	47933
846	4435	47932
847	4441	47930
848	4446	47931
849	4452	47929
850	4457	47924
851	4462	47916
852	4467	47911
853	4472	47903
854	4477	47893
855	4482	47885
856	4487	47875
857	4492	47872
858	4497	47862
859	4502	47855
860	4507	47844
861	4512	47838
862	4517	47829
863	4522	47822
864	4527	47815
865	4532	47803
866	4537	47799
867	4542	47791
868	4547	47779
869	4552	47775
870	4557	47769
871	4562	47761
872	4567	47756
873	4573	47750
874	4578	47743
875	4583	47737
876	4588	47734
877	4593	47721
878	4598	47715
879	4603	47705
880	4607	47694
881	4612	47686
882	4617	47679
883	4622	47672
884	4627	47665
885	4632	47655
886	4637	47650
887	4642	47642
888	4647	47635
889	4653	47632
890	4658	47624
891	4663	47619
892	4668	47612
893	4673	47605
894	4678	47599
895	4683	47588
896	4688	47583
897	4694	47578
898	4699	47571
899	4704	47565
900	4708	47555
901	4714	47549
902	4718	47535
903	4723	47529
904	4728	47518
905	4733	47514
906	4738	47505
907	4743	47498
908	4748	47489
909	4753	47482
910	4758	47474
911	4763	47470
912	4768	47459
913	4773	47451
914	4778	47446
915	4783	47442
916	4788	47432
917	4793	47420
918	4798	47415
919	4803	47409
920	4808	47403
921	4813	47395
922	4818	47387
923	4824	47384
924	4828	47376
925	4833	47366
926	4838	47360
927	4843	47350
928	4848	47340
929	4853	47332
930	4858	47324
931	4862	47314
932	4868	47308
933	4873	47303
934	4878	47296
935	4883	47291
936	4888	47282
937	4893	47274
938	4898	47267
939	4902	47256
940	4908	47251
941	4913	47246
942	4918	47240
943	4923	47230
944	4928	47224
945	4933	47220
946	4939	47216
947	4944	47210
948	4949	47203
949	4954	47199
950	4959	47192
951	4964	47186
952	4970	47181
953	4974	47169
954	4979	47163
955	4985	47162
956	4990	47157
957	4995	47152
958	5001	47147
959	5006	47141
960	5011	47137
961	5016	47130
962	5021	47125
963	5026	47116
964	5031	47105
965	5036	47096
966	5041	47091
967	5046	47082
968	5051	47076
969	5055	47067
970	5060	47060
971	5065	47047
972	5070	47040
973	5075	47030
974	5079	47021
975	5084	47012
976	5089	47005
977	5094	46996
978	5099	46991
979	5104	46984
980	5109	46979
981	5115	46974
982	5120	46966
983	5124	46956
984	5129	46947
985	5134	46939
986	5139	46929
987	5144	46923
988	5149	46918
989	5154	46911
990	5159	46904
991	5164	46896
992	5169	46887
993	5174	46881
994	5179	46875
995	5184	46868
996	5189	46863
997	5194	46856
998	5200	46853
999	5205	46848
1000	5210	46841
1001	5215	46835
1002	5220	46828
1003	5225	46821
1004	5230	46817
1005	5235	46810
1006	5240	46802
1007	5245	46795
1008	5250	46787
1009	5255	46780
1010	5260	46774
1011	5265	46768
1012	5271	46763
1013	5275	46749
1014	5280	46740
1015	5284	46732
1016	5289	46725
1017	5295	46718
1018	5300	46715
1019	5305	46709
1020	5310	46702
1021	5316	46700
1022	5321	46696
1023	5326	46692
1024	5331	46685
1025	5336	46676
1026	5341	46667
1027	5346	46659
1028	5351	46652
1029	5356	46644
1030	5361	46638
1031	5366	46631
1032	5370	46622
1033	5376	46618
1034	5381	46611
1035	5386	46607
1036	5391	46600
1037	5395	46588
1038	5400	46580
1039	5405	46574
1040	5411	46567
1041	5416	46561
1042	5420	46553
1043	5426	46547
1044	5431	46543
1045	5436	46538
1046	5441	46534
1047	5446	46526
1048	5451	46521
1049	5456	46513
1050	5461	46505
1051	5466	46498
1052	5471	46491
1053	5476	46486
1054	5482	46483
1055	5487	46478
1056	5492	46474
1057	5498	46471
1058	5503	46466
1059	5508	46460
1060	5513	46453
1061	5518	46446
1062	5523	46437
1063	5528	46431
1064	5533	46424
1065	5538	46417
1066	5542	46405
1067	5547	46396
1068	5552	46388
1069	5557	46377
1070	5562	46373
1071	5567	46368
1072	5572	46361
1073	5577	46354
1074	5582	46346
1075	5586	46336
1076	5592	46332
1077	5597	46325
1078	5602	46322
1079	5607	46313
1080	5612	46308
1081	5617	46303
1082	5622	46296
1083	5627	46288
1084	5632	46280
1085	5637	46272
1086	5642	46263
1087	5647	46258
1088	5652	46250
1089	5657	46242
1090	5662	46239
1091	5667	46233
1092	5672	46229
1093	5678	46224
1094	5682	46215
1095	5687	46208
1096	5692	46198
1097	5697	46193
1098	5702	46186
1099	5707	46180
1100	5712	46175
1101	5718	46170
1102	5723	46164
1103	5728	46159
1104	5733	46153
1105	5738	46144
1106	5743	46139
1107	5748	46129
1108	5752	46122
1109	5758	46117
1110	5763	46112
1111	5768	46108
1112	5773	46099
1113	5778	46095
1114	5784	46092
1115	5789	46085
1116	5794	46083
1117	5799	46076
1118	5805	46072
1119	5810	46066
1120	5815	46059
1121	5819	46050
1122	5825	46045
1123	5830	46039
1124	5835	46034
1125	5840	46028
1126	5845	46021
1127	5850	46017
1128	5855	46012
1129	5861	46006
1130	5866	46000
1131	5871	45993
1132	5875	45985
1133	5881	45982
1134	5886	45976
1135	5891	45970
1136	5896	45964
1137	5901	45959
1138	5906	45952
1139	5911	45946
1140	5917	45942
1141	5922	45936
1142	5927	45932
1143	5932	45927
1144	5938	45923
1145	5943	45918
1146	5948	45910
1147	5953	45903
1148	5957	45895
1149	5962	45888
1150	5967	45881
1151	5973	45877
1152	5978	45870
1153	5983	45865
1154	5988	45857
1155	5993	45853
1156	5998	45847
1157	6003	45841
1158	6009	45839
1159	6014	45833
1160	6019	45827
1161	6024	45821
1162	6029	45815
1163	6034	45809
1164	6040	45805
1165	6044	45798
1166	6050	45793
1167	6055	45787
1168	6060	45781
1169	6065	45773
1170	6069	45763
1171	6075	45759
1172	6079	45752
1173	6085	45749
1174	6090	45745
1175	6095	45740
1176	6101	45735
1177	6106	45731
1178	6111	45722
1179	6116	45714
1180	6121	45710
1181	6125	45701
1182	6131	45695
1183	6136	45691
1184	6141	45683
1185	6146	45677
1186	6151	45672
1187	6156	45667
1188	6161	45661
1189	6166	45655
1190	6172	45652
1191	6177	45646
1192	6182	45640
1193	6187	45637
1194	6192	45629
1195	6197	45624
1196	6202	45616
1197	6208	45611
1198	6213	45605
1199	6218	45600
1200	6223	45593
1201	6228	45588
1202	6233	45583
1203	6238	45574
1204	6243	45568
1205	6248	45562
1206	6253	45556
1207	6258	45553
1208	6264	45549
1209	6268	45540
1210	6274	45535
1211	6279	45530
1212	6284	45524
1213	6289	45520
1214	6294	45512
1215	6299	45503
1216	6304	45497
1217	6309	45493
1218	6314	45487
1219	6319	45481
1220	6324	45474
1221	6330	45471
1222	6335	45466
1223	6340	45459
1224	6345	45454
1225	6350	45449
1226	6355	45441
1227	6360	45436
1228	6365	45430
1229	6370	45425
1230	6376	45419
1231	6380	45411
1232	6385	45405
1233	6391	45400
1234	6396	45395
1235	6401	45391
1236	6406	45385
1237	6411	45377
1238	6416	45372
1239	6421	45367
1240	6427	45363
1241	6432	45356
1242	6437	45349
1243	6441	45341
1244	6447	45336
1245	6451	45328
1246	6456	45320
1247	6461	45315
1248	6467	45311
1249	6472	45306
1250	6477	45299
1251	6482	45292
1252	6487	45288
1253	6492	45284
1254	6498	45279
1255	6502	45269
1256	6508	45266
1257	6513	45259
1258	6518	45253
1259	6523	45247
1260	6527	45239
1261	6533	45234
1262	6538	45228
1263	6543	45223
1264	6548	45218
1265	6553	45211
1266	6558	45204
1267	6563	45199
1268	6568	45193
1269	6573	45188
1270	6578	45182
1271	6584	45177
1272	6589	45172
1273	6594	45165
1274	6599	45162
1275	6604	45157
1276	6610	45152
1277	6615	45149
1278	6620	45143
1279	6625	45139
1280	6630	45133
1281	6635	45125
1282	6640	45118
1283	6646	45114
1284	6651	45108
1285	6656	45103
1286	6661	45099
1287	6666	45094
1288	6672	45089
1289	6677	45084
1290	6682	45080
1291	6687	45076
1292	6693	45070
1293	6698	45064
1294	6703	45060
1295	6707	45050
1296	6712	45041
1297	6717	45032
1298	6721	45024
1299	6726	45016
1300	6731	45010
1301	6736	45004
1302	6741	44998
1303	6746	44992
1304	6751	44985
1305	6757	44983
1306	6762	44977
1307	6767	44969
1308	6772	44963
1309	6777	44957
1310	6782	44951
1311	6787	44945
1312	6792	44941
1313	6797	44935
1314	6802	44929
1315	6807	44922
1316	6813	44918
1317	6817	44911
1318	6822	44901
1319	6827	44896
1320	6832	44889
1321	6837	44885
1322	6843	44880
1323	6848	44874
1324	6853	44869
1325	6858	44863
1326	6863	44856
1327	6868	44849
1328	6873	44843
1329	6878	44838
1330	6883	44834
1331	6889	44830
1332	6893	44823
1333	6899	44819
1334	6904	44812
1335	6909	44806
1336	6914	44800
1337	6919	44792
1338	6923	44786
1339	6929	44781
1340	6934	44775
1341	6939	44768
1342	6944	44763
1343	6948	44754
1344	6953	44748
1345	6958	44741
1346	6963	44734
1347	6969	44731
1348	6974	44727
1349	6979	44718
1350	6984	44715
1351	6989	44710
1352	6995	44705
1353	7000	44699
1354	7005	44695
1355	7010	44692
1356	7015	44685
1357	7020	44677
1358	7025	44671
1359	7030	44664
1360	7035	44659
1361	7040	44653
1362	7046	44649
1363	7050	44641
1364	7055	44635
1365	7061	44630
1366	7066	44624
1367	7071	44618
1368	7076	44614
1369	7082	44617
1370	7088	44612
1371	7092	44604
1372	7097	44598
1373	7103	44593
1374	7108	44592
1375	7114	44591
1376	7119	44583
1377	7124	44577
1378	7129	44572
1379	7135	44568
1380	7140	44563
1381	7145	44558
1382	7150	44552
1383	7155	44547
1384	7160	44540
1385	7165	44533
1386	7171	44530
1387	7176	44527
1388	7181	44522
1389	7187	44518
1390	7191	44511
1391	7196	44505
1392	7202	44499
1393	7207	44493
1394	7212	44487
1395	7217	44482
1396	7222	44474
1397	7227	44471
1398	7232	44465
1399	7237	44461
1400	7243	44458
1401	7248	44451
1402	7253	44445
1403	7258	44441
1404	7263	44432
1405	7268	44425
1406	7273	44418
1407	7278	44414
1408	7283	44408
1409	7288	44403
1410	7294	44403
1411	7299	44395
1412	7304	44392
1413	7310	44387
1414	7315	44384
1415	7321	44381
1416	7327	44382
1417	7331	44374
1418	7338	44374
1419	7343	44369
1420	7349	44370
1421	7354	44366
1422	7360	44363
1423	7365	44359
1424	7371	44355
1425	7376	44350
1426	7381	44346
1427	7386	44340
1428	7392	44336
1429	7397	44332
1430	7402	44329
1431	7408	44325
1432	7413	44321
1433	7419	44318
1434	7424	44316
1435	7430	44312
1436	7435	44308
1437	7440	44302
1438	7444	44292
1439	7450	44289
1440	7455	44284
1441	7461	44279
1442	7465	44272
1443	7471	44270
1444	7476	44263
1445	7481	44259
1446	7487	44255
1447	7492	44253
1448	7497	44247
1449	7502	44241
1450	7508	44235
1451	7513	44229
1452	7518	44223
1453	7523	44220
1454	7529	44217
1455	7534	44212
1456	7539	44204
1457	7543	44197
1458	7549	44193
1459	7554	44189
1460	7560	44187
1461	7565	44182
1462	7571	44180
1463	7576	44176
1464	7582	44174
1465	7587	44171
1466	7593	44169
1467	7598	44163
1468	7604	44160
1469	7609	44154
1470	7615	44153
1471	7620	44146
1472	7626	44146
1473	7631	44141
1474	7637	44139
1475	7642	44135
1476	7648	44135
1477	7653	44130
1478	7659	44128
1479	7664	44123
1480	7670	44121
1481	7675	44116
1482	7680	44111
1483	7685	44106
1484	7691	44102
1485	7697	44099
1486	7702	44093
1487	7707	44088
1488	7712	44082
1489	7717	44079
1490	7723	44075
1491	7728	44068
1492	7733	44063
1493	7739	44062
1494	7744	44057
1495	7749	44052
1496	7755	44048
1497	7760	44043
1498	7765	44039
1499	7770	44033
1500	7775	44028
1501	7781	44028
1502	7787	44024
1503	7793	44024
1504	7798	44019
1505	7804	44017
1506	7809	44012
1507	7815	44011
1508	7820	44003
1509	7825	43998
1510	7829	43989
1511	7836	43989
1512	7841	43985
1513	7846	43981
1514	7852	43976
1515	7857	43972
1516	7863	43970
1517	7868	43968
1518	7875	43968
1519	7881	43969
1520	7887	43967
1521	7893	43966
1522	7898	43964
1523	7905	43965
1524	7910	43963
1525	7916	43962
1526	7922	43959
1527	7928	43960
1528	7933	43955
1529	7939	43952
1530	7944	43948
1531	7950	43943
1532	7955	43940
1533	7961	43937
1534	7966	43933
1535	7971	43928
1536	7976	43921
1537	7982	43918
1538	7987	43913
1539	7992	43909
1540	7998	43904
1541	8003	43900
1542	8009	43897
1543	8014	43893
1544	8019	43887
1545	8024	43882
1546	8029	43876
1547	8034	43869
1548	8040	43865
1549	8045	43859
1550	8050	43855
1551	8055	43849
1552	8061	43849
1553	8066	43844
1554	8072	43839
1555	8077	43833
1556	8082	43829
1557	8087	43822
1558	8092	43817
1559	8097	43809
1560	8102	43801
1561	8107	43795
1562	8111	43788
1563	8116	43779
1564	8121	43773
1565	8127	43769
1566	8132	43766
1567	8137	43760
1568	8143	43756
1569	8148	43751
1570	8153	43745
1571	8157	43737
1572	8163	43731
1573	8168	43727
1574	8173	43720
1575	8178	43716
1576	8183	43711
1577	8188	43704
1578	8193	43699
1579	8199	43694
1580	8204	43687
1581	8209	43683
1582	8214	43677
1583	8219	43671
1584	8224	43666
1585	8229	43659
1586	8234	43652
1587	8239	43647
1588	8244	43640
1589	8249	43634
1590	8254	43629
1591	8260	43627
1592	8265	43621
1593	8271	43617
1594	8275	43609
1595	8280	43603
1596	8286	43599
1597	8291	43594
1598	8297	43592
1599	8301	43585
1600	8307	43581
1601	8312	43576
1602	8318	43575
1603	8324	43573
1604	8330	43572
1605	8336	43570
1606	8341	43567
1607	8347	43564
1608	8352	43559
1609	8358	43556
1610	8363	43552
1611	8368	43547
1612	8374	43543
1613	8380	43541
1614	8385	43536
1615	8391	43533
1616	8396	43530
1617	8401	43526
1618	8407	43523
1619	8413	43519
1620	8418	43514
1621	8423	43510
1622	8429	43506
1623	8434	43500
1624	8439	43495
1625	8444	43490
1626	8450	43490
1627	8455	43483
1628	8461	43483
1629	8467	43478
1630	8472	43475
1631	8477	43468
1632	8483	43466
1633	8488	43462
1634	8494	43461
1635	8500	43456
1636	8505	43453
1637	8510	43447
1638	8516	43445
1639	8522	43442
1640	8528	43440
1641	8532	43433
1642	8538	43430
1643	8544	43427
1644	8550	43427
1645	8556	43428
1646	8563	43431
1647	8569	43431
1648	8576	43434
1649	8583	43437
1650	8590	43442
1651	8598	43448
1652	8606	43457
1653	8613	43463
1654	8620	43468
1655	8628	43478
1656	8635	43480
1657	8642	43483
1658	8649	43485
1659	8654	43481
1660	8660	43480
1661	8666	43478
1662	8672	43476
1663	8678	43475
1664	8683	43469
1665	8689	43466
1666	8694	43463
1667	8700	43461
