Date,Confirmed,Deceased,Recovered
2020-03-14,1,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,2,0,0
2020-03-20,0,0,0
2020-03-21,2,0,0
2020-03-22,1,0,0
2020-03-23,1,0,0
2020-03-24,1,0,0
2020-03-25,2,0,1
2020-03-26,1,0,0
2020-03-27,2,0,0
2020-03-28,6,0,0
2020-03-29,2,0,0
2020-03-30,2,0,0
2020-03-31,21,0,0
2020-04-01,67,0,1
2020-04-02,38,0,0
2020-04-03,15,1,0
2020-04-04,28,0,0
2020-04-05,64,0,3
2020-04-06,47,2,0
2020-04-07,11,1,0
2020-04-08,34,0,1
2020-04-09,15,2,4
2020-04-10,18,0,0
2020-04-11,24,0,0
2020-04-12,15,1,2
2020-04-13,19,0,0
2020-04-14,45,4,4
2020-04-15,41,3,4
2020-04-16,9,0,0
2020-04-17,38,0,15
2020-04-18,31,2,7
2020-04-19,44,1,23
2020-04-20,75,3,27
2020-04-21,35,2,4
2020-04-22,56,2,24
2020-04-23,80,3,21
2020-04-24,62,2,4
2020-04-25,61,2,26
2020-04-26,81,0,60
2020-04-27,80,0,4
2020-04-28,82,0,23
2020-04-29,73,0,29
2020-04-30,71,0,34
2020-05-01,60,2,82
2020-05-02,62,0,38
2020-05-03,58,0,47
2020-05-04,67,0,36
2020-05-05,67,1,65
2020-05-06,60,2,140
2020-05-07,56,2,51
2020-05-08,54,3,62
2020-05-09,43,3,45
2020-05-10,50,1,38
2020-05-11,38,0,73
2020-05-12,71,1,58
2020-05-13,48,1,86
2020-05-14,68,1,50
2020-05-15,102,0,60
2020-05-16,48,1,101
2020-05-17,25,1,103
2020-05-18,52,0,96
2020-05-19,57,2,69
2020-05-20,71,1,43
2020-05-21,45,1,41
2020-05-22,62,1,26
2020-05-23,47,1,48
2020-05-24,66,0,62
2020-05-25,106,0,51
2020-05-26,97,1,125
2020-05-27,134,1,48
2020-05-28,128,1,68
2020-05-29,85,1,101
2020-05-30,131,0,55
2020-05-31,110,2,51
2020-06-01,105,2,34
2020-06-02,115,0,40
2020-06-03,180,4,50
2020-06-04,141,3,65
2020-06-05,138,2,36
2020-06-06,210,0,75
2020-06-07,199,2,29
2020-06-08,154,0,42
2020-06-09,69,2,48
2020-06-10,365,1,110
2020-06-11,182,2,99
2020-06-12,207,0,123
2020-06-13,222,2,94
