Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,1,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,1
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,1,0,0
2020-05-25,0,0,0
2020-05-26,0,0,0
2020-05-27,0,0,0
2020-05-28,1,0,0
2020-05-29,0,0,0
2020-05-30,1,0,0
2020-05-31,0,0,0
2020-06-01,18,0,0
2020-06-02,2,0,0
2020-06-03,10,0,0
2020-06-04,5,0,0
2020-06-05,4,0,0
2020-06-06,2,0,0
2020-06-07,3,0,0
2020-06-08,6,0,0
2020-06-09,0,0,1
2020-06-10,4,0,2
2020-06-11,6,0,0
2020-06-12,19,0,0
2020-06-13,5,0,2
2020-06-14,3,0,1
2020-06-15,4,0,0
2020-06-16,4,0,0
2020-06-17,4,0,3
2020-06-18,0,0,1
2020-06-19,32,0,3
2020-06-20,0,0,1
2020-06-21,4,0,6
2020-06-22,9,0,1
2020-06-23,10,0,16
2020-06-24,2,1,0
2020-06-25,12,0,4
2020-06-26,2,0,7
2020-06-27,3,0,5
2020-06-28,5,0,6
2020-06-29,5,0,1
2020-06-30,4,0,1
2020-07-01,4,0,4
2020-07-02,37,0,5
2020-07-03,20,0,4
2020-07-04,7,0,1
2020-07-05,10,0,2
2020-07-06,1,1,14
2020-07-07,6,0,13
2020-07-08,11,0,4
2020-07-09,15,0,11
2020-07-10,33,0,0
2020-07-11,6,0,5
2020-07-12,19,0,13
2020-07-13,27,1,7
2020-07-14,75,0,8
2020-07-15,29,0,0
2020-07-16,52,0,0
2020-07-17,66,0,22
2020-07-18,41,0,99
2020-07-19,90,0,8
2020-07-20,50,0,3
2020-07-21,68,0,18
2020-07-22,91,0,11
2020-07-23,42,0,20
2020-07-24,65,0,58
2020-07-25,70,0,36
2020-07-26,32,0,77
2020-07-27,81,0,69
2020-07-28,91,0,43
2020-07-29,80,0,60
2020-07-30,74,0,150
2020-07-31,107,0,91
2020-08-01,83,0,51
2020-08-02,24,0,27
2020-08-03,60,0,67
2020-08-04,32,0,42
2020-08-05,65,0,105
2020-08-06,93,0,35
2020-08-07,101,0,81
2020-08-08,68,0,104
2020-08-09,38,0,52
2020-08-10,76,0,110
2020-08-11,96,0,42
2020-08-12,103,0,25
2020-08-13,82,1,59
2020-08-14,95,1,32
2020-08-15,51,0,21
2020-08-16,43,0,37
2020-08-17,40,0,85
2020-08-18,134,0,56
2020-08-19,75,0,73
2020-08-20,116,0,71
2020-08-21,60,0,32
2020-08-22,97,0,103
2020-08-23,40,0,69
2020-08-24,49,0,130
2020-08-25,100,0,81
2020-08-26,143,0,55
2020-08-27,78,0,58
2020-08-28,112,2,88
2020-08-29,132,0,45
2020-08-30,157,0,68
2020-08-31,78,0,63
2020-09-01,100,0,94
2020-09-02,148,0,96
2020-09-03,214,1,92
2020-09-04,201,0,113
2020-09-05,139,0,101
2020-09-06,86,0,91
2020-09-07,180,0,124
2020-09-08,221,1,127
2020-09-09,144,0,183
2020-09-10,127,0,99
2020-09-11,153,1,121
2020-09-12,136,0,127
2020-09-13,160,0,126
2020-09-14,176,1,152
2020-09-15,169,2,127
2020-09-16,226,0,129
2020-09-17,159,0,180
2020-09-18,154,0,139
2020-09-19,245,0,174
2020-09-20,135,0,128
2020-09-21,210,0,235
2020-09-22,249,1,135
2020-09-23,289,0,125
2020-09-24,283,0,168
2020-09-25,255,0,159
2020-09-26,198,0,167
2020-09-27,135,0,98
2020-09-28,328,1,97
2020-09-29,221,1,151
2020-09-30,243,0,147
2020-10-01,224,0,159
2020-10-02,200,2,134
2020-10-03,201,0,205
2020-10-04,127,0,189
2020-10-05,235,1,198
2020-10-06,224,1,190
2020-10-07,260,1,431
2020-10-08,212,1,283
2020-10-09,281,1,198
2020-10-10,238,0,158
2020-10-11,149,1,197
2020-10-12,220,0,171
2020-10-13,194,4,170
2020-10-14,207,1,121
2020-10-15,203,1,195
2020-10-16,198,0,182
2020-10-17,179,0,244
2020-10-18,57,0,237
2020-10-19,238,0,228
2020-10-20,135,1,255
2020-10-21,134,0,164
2020-10-22,165,1,208
2020-10-23,68,1,206
2020-10-24,66,0,168
2020-10-25,33,0,170
2020-10-26,147,2,231
2020-10-27,81,1,115
2020-10-28,108,0,183
2020-10-29,88,1,143
2020-10-30,84,0,154
2020-10-31,100,0,182
2020-11-01,29,0,114
2020-11-02,117,1,165
2020-11-03,85,4,129
2020-11-04,77,1,105
2020-11-05,84,0,108
2020-11-06,81,0,99
2020-11-07,64,2,106
2020-11-08,47,1,96
2020-11-09,48,0,85
2020-11-10,97,0,85
2020-11-11,76,0,75
2020-11-12,44,1,88
2020-11-13,57,0,105
2020-11-14,34,1,102
2020-11-15,20,0,79
2020-11-16,56,0,88
2020-11-17,36,0,56
2020-11-18,41,0,71
2020-11-19,31,1,85
2020-11-20,25,0,70
2020-11-21,36,0,67
2020-11-22,24,0,35
2020-11-23,31,0,64
2020-11-24,52,0,55
2020-11-25,30,0,66
2020-11-26,30,0,72
2020-11-27,27,1,41
2020-11-28,31,1,53
2020-11-29,7,3,41
2020-11-30,13,0,47
2020-12-01,14,0,45
2020-12-02,24,0,32
2020-12-03,28,0,37
2020-12-04,19,1,36
2020-12-05,17,0,20
2020-12-06,11,0,24
2020-12-07,20,0,48
2020-12-08,22,0,37
2020-12-09,24,0,7
2020-12-10,18,0,42
2020-12-11,18,0,424
2020-12-12,7,0,17
2020-12-13,9,0,26
2020-12-14,23,0,37
2020-12-15,17,0,21
2020-12-16,21,0,14
2020-12-17,29,0,12
2020-12-18,8,0,32
2020-12-19,18,0,11
2020-12-20,1,0,17
2020-12-21,22,1,19
2020-12-22,5,0,10
2020-12-23,12,0,22
2020-12-24,9,0,37
2020-12-25,0,0,16
2020-12-26,9,0,23
2020-12-27,2,0,26
2020-12-28,7,0,18
2020-12-29,13,0,17
2020-12-30,2,0,11
2020-12-31,8,0,15
2021-01-01,0,0,2
2021-01-02,8,0,10
2021-01-03,5,0,7
2021-01-04,9,0,15
2021-01-05,3,0,11
2021-01-06,9,0,0
2021-01-07,4,0,13
2021-01-08,7,0,9
2021-01-09,3,0,16
2021-01-10,5,0,3
2021-01-11,5,0,8
2021-01-12,5,0,7
2021-01-13,1,0,4
2021-01-14,15,0,5
2021-01-15,4,0,8
2021-01-16,6,0,8
2021-01-17,3,0,7
2021-01-18,1,0,2
2021-01-19,3,0,8
2021-01-20,0,0,6
2021-01-21,1,0,9
2021-01-22,1,0,2
2021-01-23,1,0,1
2021-01-24,1,0,20
2021-01-25,1,0,4
2021-01-26,1,0,2
2021-01-27,3,0,2
2021-01-28,3,0,3
2021-01-29,0,0,2
2021-01-30,1,0,0
2021-01-31,0,0,1
