Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,2,1,0
2020-03-23,1,0,0
2020-03-24,0,0,0
2020-03-25,1,0,0
2020-03-26,3,0,0
2020-03-27,2,0,0
2020-03-28,2,0,0
2020-03-29,4,0,0
2020-03-30,0,0,0
2020-03-31,6,0,0
2020-04-01,3,0,0
2020-04-02,5,0,3
2020-04-03,2,0,0
2020-04-04,1,0,0
2020-04-05,0,0,0
2020-04-06,0,0,6
2020-04-07,6,0,6
2020-04-08,1,0,0
2020-04-09,19,0,0
2020-04-10,2,0,0
2020-04-11,4,0,0
2020-04-12,0,0,11
2020-04-13,2,0,2
2020-04-14,0,0,1
2020-04-15,6,0,0
2020-04-16,11,0,8
2020-04-17,2,0,0
2020-04-18,1,1,5
2020-04-19,10,0,0
2020-04-20,17,0,0
2020-04-21,13,0,0
2020-04-22,17,0,0
2020-04-23,27,0,2
2020-04-24,53,0,0
2020-04-25,28,0,1
2020-04-26,26,0,11
2020-04-27,69,0,0
2020-04-28,20,0,8
2020-04-29,37,0,0
2020-04-30,22,0,20
2020-05-01,41,1,14
2020-05-02,15,1,19
2020-05-03,36,0,7
2020-05-04,11,0,3
2020-05-05,7,0,31
2020-05-06,7,0,0
2020-05-07,8,1,60
2020-05-08,29,0,49
2020-05-09,32,0,51
2020-05-10,96,1,36
2020-05-11,42,0,23
2020-05-12,130,0,5
2020-05-13,74,1,18
2020-05-14,46,0,12
2020-05-15,34,0,28
2020-05-16,145,1,33
2020-05-17,142,0,0
2020-05-18,103,1,44
2020-05-19,96,0,0
2020-05-20,257,0,54
2020-05-21,211,0,0
2020-05-22,179,2,58
2020-05-23,228,0,24
2020-05-24,180,0,49
2020-05-25,163,2,31
2020-05-26,231,1,67
2020-05-27,68,1,118
2020-05-28,149,0,132
2020-05-29,174,0,159
2020-05-30,206,6,102
2020-05-31,242,2,209
2020-06-01,138,0,221
2020-06-02,151,1,62
2020-06-03,230,1,222
2020-06-04,126,3,95
2020-06-05,146,1,113
2020-06-06,233,0,65
2020-06-07,239,1,107
2020-06-08,177,1,137
2020-06-09,208,2,228
2020-06-10,243,1,164
2020-06-11,250,0,152
2020-06-12,148,1,230
2020-06-13,193,0,370
2020-06-14,186,1,289
2020-06-15,187,2,251
2020-06-16,148,1,345
2020-06-17,130,0,205
2020-06-18,100,5,185
2020-06-19,250,5,137
2020-06-20,213,0,269
2020-06-21,162,2,264
2020-06-22,228,1,136
2020-06-23,157,2,260
2020-06-24,223,1,79
2020-06-25,215,1,374
2020-06-26,190,0,189
2020-06-27,302,2,261
2020-06-28,244,4,226
2020-06-29,394,1,218
2020-06-30,370,5,170
2020-07-01,216,5,267
2020-07-02,478,5,183
2020-07-03,426,6,217
2020-07-04,349,4,277
2020-07-05,403,2,277
2020-07-06,280,7,249
2020-07-07,385,1,324
2020-07-08,749,2,203
2020-07-09,704,9,251
2020-07-10,352,2,459
2020-07-11,709,7,740
2020-07-12,1266,7,962
2020-07-13,1116,9,411
2020-07-14,1432,9,655
2020-07-15,1320,14,514
2020-07-16,1385,10,568
2020-07-17,1742,6,896
2020-07-18,1667,4,774
2020-07-19,1412,2,826
2020-07-20,1076,8,938
2020-07-21,1109,11,1206
2020-07-22,1502,10,1135
2020-07-23,1625,4,1083
2020-07-24,1820,9,1873
2020-07-25,2803,11,1688
2020-07-26,2605,17,1788
2020-07-27,2192,6,1536
2020-07-28,2480,14,1376
2020-07-29,2328,4,1284
2020-07-30,2082,12,1169
2020-07-31,2986,13,1977
2020-08-01,3521,14,1823
2020-08-02,2762,10,1164
2020-08-03,2297,14,1871
2020-08-04,2464,13,2252
2020-08-05,2701,20,1610
2020-08-06,3416,19,1450
2020-08-07,3646,12,2445
2020-08-08,3992,19,2408
2020-08-09,3934,10,2642
2020-08-10,3021,21,2824
2020-08-11,4071,15,2900
2020-08-12,3741,9,3029
2020-08-13,3906,10,2439
2020-08-14,3911,16,2800
2020-08-15,3536,15,3368
2020-08-16,2187,22,3891
2020-08-17,2525,5,4140
2020-08-18,3257,16,4034
2020-08-19,2884,10,3838
2020-08-20,2451,6,3585
2020-08-21,2461,14,3678
2020-08-22,2238,13,3531
2020-08-23,2247,9,3082
2020-08-24,1227,17,2908
2020-08-25,1444,17,3169
2020-08-26,2163,9,2234
2020-08-27,1860,9,2931
2020-08-28,1998,12,2749
2020-08-29,2087,5,2629
2020-08-30,2078,9,2231
2020-08-31,1324,6,2267
2020-09-01,1928,15,2029
2020-09-02,1969,13,1803
2020-09-03,1922,6,1572
2020-09-04,1978,13,1435
2020-09-05,1727,9,1965
2020-09-06,1797,4,1924
2020-09-07,1369,7,1845
2020-09-08,1667,4,1944
2020-09-09,1498,10,1702
2020-09-10,1543,10,1480
2020-09-11,1710,12,2187
2020-09-12,1421,11,1700
2020-09-13,1523,14,1895
2020-09-14,1137,9,1966
2020-09-15,1575,5,1514
2020-09-16,1531,12,1724
2020-09-17,1592,7,1465
2020-09-18,1147,4,1678
2020-09-19,1616,2,1556
2020-09-20,1555,3,1487
2020-09-21,1314,6,1381
2020-09-22,1609,3,1232
2020-09-23,1598,1,1490
2020-09-24,1203,4,1154
2020-09-25,1632,3,1810
2020-09-26,1457,5,1622
2020-09-27,1527,2,1405
2020-09-28,1150,4,1651
2020-09-29,1439,2,1702
2020-09-30,1435,10,1735
2020-10-01,1370,2,1242
2020-10-02,1431,4,1497
2020-10-03,983,2,1431
2020-10-04,1261,3,1314
2020-10-05,907,9,1565
2020-10-06,1265,1,1255
2020-10-07,1304,2,1422
2020-10-08,1244,2,1006
2020-10-09,1155,5,1424
2020-10-10,1140,10,1226
2020-10-11,1302,2,1217
2020-10-12,732,9,1369
2020-10-13,1223,6,1030
2020-10-14,1326,6,1375
2020-10-15,1276,5,804
2020-10-16,1062,9,1454
2020-10-17,1173,9,1259
2020-10-18,1152,6,1079
2020-10-19,912,7,1195
2020-10-20,1837,8,1100
2020-10-21,1277,8,1319
2020-10-22,1058,7,985
2020-10-23,1093,8,1244
2020-10-24,1054,8,1084
2020-10-25,749,7,1399
2020-10-26,513,9,1087
2020-10-27,678,7,1237
2020-10-28,780,4,1073
2020-10-29,783,7,1068
2020-10-30,1018,8,1240
2020-10-31,800,6,1186
2020-11-01,777,7,1195
2020-11-02,577,4,974
2020-11-03,846,7,875
2020-11-04,541,5,976
2020-11-05,741,8,467
2020-11-06,746,8,613
2020-11-07,819,7,1000
2020-11-08,801,8,825
2020-11-09,865,7,851
2020-11-10,798,5,1014
2020-11-11,702,6,821
2020-11-12,523,5,536
2020-11-13,581,7,870
2020-11-14,588,5,422
2020-11-15,247,5,614
2020-11-16,517,5,597
2020-11-17,513,5,749
2020-11-18,734,7,601
2020-11-19,794,8,681
2020-11-20,495,3,661
2020-11-21,278,4,462
2020-11-22,385,5,606
2020-11-23,412,6,480
2020-11-24,653,6,746
2020-11-25,763,4,350
2020-11-26,682,6,595
2020-11-27,698,5,654
2020-11-28,713,5,668
2020-11-29,606,6,537
2020-11-30,457,5,547
2020-12-01,482,4,567
2020-12-02,680,6,636
2020-12-03,571,7,502
2020-12-04,619,6,605
2020-12-05,573,5,758
2020-12-06,585,3,572
2020-12-07,439,2,679
2020-12-08,684,3,674
2020-12-09,690,3,707
2020-12-10,595,4,442
2020-12-11,618,5,674
2020-12-12,596,5,575
2020-12-13,500,4,548
2020-12-14,425,4,635
2020-12-15,572,4,624
2020-12-16,565,3,466
2020-12-17,588,5,495
2020-12-18,535,4,581
2020-12-19,712,6,793
2020-12-20,599,5,584
2020-12-21,287,6,443
2020-12-22,497,4,577
2020-12-23,640,5,309
2020-12-24,668,4,522
2020-12-25,640,2,489
2020-12-26,474,6,730
2020-12-27,545,4,703
2020-12-28,309,3,617
2020-12-29,622,3,523
2020-12-30,474,4,558
2020-12-31,392,4,299
2021-01-01,463,3,404
2021-01-02,397,3,490
2021-01-03,282,2,631
2021-01-04,344,3,430
2021-01-05,411,7,456
2021-01-06,408,5,424
2021-01-07,377,4,423
2021-01-08,452,4,504
2021-01-09,493,2,411
2021-01-10,359,4,408
2021-01-11,213,5,378
2021-01-12,344,4,214
2021-01-13,294,2,391
2021-01-14,314,2,238
2021-01-15,346,2,371
