Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,1,0,0
2020-03-20,4,0,0
2020-03-21,0,0,0
2020-03-22,1,0,0
2020-03-23,1,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,1,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,5,0,0
2020-03-31,2,0,0
2020-04-01,2,0,0
2020-04-02,1,0,0
2020-04-03,0,0,0
2020-04-04,0,0,3
2020-04-05,0,0,2
2020-04-06,0,0,0
2020-04-07,0,0,2
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,1,0,0
2020-04-11,0,0,0
2020-04-12,2,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,2
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,2,0,0
2020-04-19,3,0,4
2020-04-20,0,0,1
2020-04-21,1,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,1
2020-04-25,1,0,0
2020-04-26,8,0,2
2020-04-27,9,0,0
2020-04-28,11,0,0
2020-04-29,12,0,0
2020-04-30,6,0,1
2020-05-01,14,0,0
2020-05-02,6,0,1
2020-05-03,3,1,0
2020-05-04,5,0,2
2020-05-05,17,0,0
2020-05-06,5,0,0
2020-05-07,11,0,0
2020-05-08,11,1,0
2020-05-09,23,0,3
2020-05-10,4,1,0
2020-05-11,8,0,4
2020-05-12,6,0,2
2020-05-13,4,0,0
2020-05-14,0,0,7
2020-05-15,0,0,3
2020-05-16,0,0,11
2020-05-17,0,0,0
2020-05-18,5,0,3
2020-05-19,3,0,3
2020-05-20,3,0,79
2020-05-21,16,0,42
2020-05-22,1,0,0
2020-05-23,6,0,1
2020-05-24,37,1,0
2020-05-25,4,0,8
2020-05-26,12,0,0
2020-05-27,1,0,0
2020-05-28,10,0,2
2020-05-29,0,0,0
2020-05-30,0,0,10
2020-05-31,4,0,0
2020-06-01,4,0,15
2020-06-02,4,1,0
2020-06-03,0,0,0
2020-06-04,1,0,8
2020-06-05,7,0,51
2020-06-06,3,0,0
2020-06-07,2,0,1
2020-06-08,6,0,11
2020-06-09,6,0,0
2020-06-10,2,0,4
2020-06-11,4,0,4
2020-06-12,13,0,2
2020-06-13,5,0,0
2020-06-14,2,0,0
2020-06-15,5,1,6
2020-06-16,8,0,1
2020-06-17,5,0,4
2020-06-18,4,0,0
2020-06-19,7,0,9
2020-06-20,23,0,1
2020-06-21,2,0,0
2020-06-22,5,0,6
2020-06-23,7,0,0
2020-06-24,2,0,0
2020-06-25,3,0,7
2020-06-26,2,0,6
2020-06-27,3,0,0
2020-06-28,3,0,1
2020-06-29,3,0,13
2020-06-30,6,0,15
2020-07-01,6,0,3
2020-07-02,4,0,22
2020-07-03,4,0,4
2020-07-04,5,0,2
2020-07-05,7,0,0
2020-07-06,21,0,6
2020-07-07,5,1,0
2020-07-08,15,0,1
2020-07-09,16,0,1
2020-07-10,13,0,5
2020-07-11,13,1,5
2020-07-12,10,0,4
2020-07-13,29,0,6
2020-07-14,12,2,23
2020-07-15,19,1,13
2020-07-16,16,0,17
2020-07-17,25,0,4
2020-07-18,31,1,5
2020-07-19,26,0,3
2020-07-20,20,0,30
2020-07-21,14,0,0
2020-07-22,29,1,8
2020-07-23,20,0,5
2020-07-24,23,0,4
2020-07-25,29,0,20
2020-07-26,35,0,17
2020-07-27,23,1,3
2020-07-28,24,0,24
2020-07-29,44,0,12
2020-07-30,38,0,36
2020-07-31,35,1,20
2020-08-01,28,3,16
2020-08-02,38,1,15
2020-08-03,43,0,8
2020-08-04,46,1,9
2020-08-05,64,0,0
2020-08-06,57,0,62
2020-08-07,47,3,43
2020-08-08,52,1,52
2020-08-09,89,1,32
2020-08-10,80,0,100
2020-08-11,75,1,11
2020-08-12,81,1,8
2020-08-13,91,1,53
2020-08-14,86,0,15
2020-08-15,81,0,27
2020-08-16,93,1,19
2020-08-17,114,1,46
2020-08-18,89,0,60
2020-08-19,91,1,108
2020-08-20,119,0,39
2020-08-21,116,2,36
2020-08-22,145,0,45
2020-08-23,142,4,21
2020-08-24,117,0,154
2020-08-25,174,3,67
2020-08-26,167,1,87
2020-08-27,188,2,177
2020-08-28,160,2,130
2020-08-29,261,0,141
2020-08-30,170,7,48
2020-08-31,191,4,135
2020-09-01,204,1,120
2020-09-02,239,2,119
2020-09-03,276,4,213
2020-09-04,203,5,222
2020-09-05,234,1,185
2020-09-06,261,2,149
2020-09-07,232,3,295
2020-09-08,377,1,226
2020-09-09,332,2,180
2020-09-10,283,3,191
2020-09-11,305,3,269
2020-09-12,250,6,264
2020-09-13,449,1,306
2020-09-14,254,5,130
2020-09-15,347,1,202
2020-09-16,366,5,181
2020-09-17,288,5,379
2020-09-18,260,4,353
2020-09-19,290,6,351
2020-09-20,286,4,372
2020-09-21,216,3,273
2020-09-22,248,4,383
2020-09-23,180,10,255
2020-09-24,242,7,293
2020-09-25,244,1,335
2020-09-26,168,0,260
2020-09-27,173,2,166
2020-09-28,125,6,222
2020-09-29,138,5,273
2020-09-30,122,4,215
2020-10-01,119,2,196
2020-10-02,155,5,153
2020-10-03,148,3,234
2020-10-04,85,2,202
2020-10-05,133,3,199
2020-10-06,129,3,238
2020-10-07,113,2,155
2020-10-08,102,4,154
2020-10-09,63,2,161
2020-10-10,96,2,157
2020-10-11,85,1,125
2020-10-12,94,1,111
2020-10-13,71,5,109
2020-10-14,72,2,112
2020-10-15,74,2,113
2020-10-16,55,5,120
2020-10-17,50,1,108
2020-10-18,64,1,94
2020-10-19,40,0,63
2020-10-20,57,1,107
2020-10-21,54,0,118
2020-10-22,51,3,82
2020-10-23,72,2,85
2020-10-24,57,2,78
2020-10-25,61,2,80
2020-10-26,47,4,63
2020-10-27,67,1,49
2020-10-28,60,1,80
2020-10-29,80,1,43
2020-10-30,59,0,67
2020-10-31,67,1,82
2020-11-01,58,0,81
2020-11-02,52,1,76
2020-11-03,80,1,43
2020-11-04,94,1,51
2020-11-05,92,0,60
2020-11-06,133,1,63
2020-11-07,98,2,53
2020-11-08,109,2,46
2020-11-09,115,3,86
2020-11-10,90,4,66
2020-11-11,95,2,57
2020-11-12,109,1,64
2020-11-13,93,2,84
2020-11-14,0,0,0
2020-11-15,168,2,87
2020-11-16,82,2,116
2020-11-17,136,2,160
2020-11-18,145,1,89
2020-11-19,155,1,130
2020-11-20,150,1,133
2020-11-21,119,3,102
2020-11-22,80,2,119
2020-11-23,98,3,72
2020-11-24,79,2,66
2020-11-25,87,1,77
2020-11-26,116,4,80
2020-11-27,106,0,85
2020-11-28,89,4,160
2020-11-29,96,2,69
2020-11-30,67,1,144
2020-12-01,128,1,103
2020-12-02,105,3,106
2020-12-03,75,3,173
2020-12-04,111,3,161
2020-12-05,98,2,141
2020-12-06,101,2,60
2020-12-07,86,2,85
2020-12-08,126,3,82
2020-12-09,83,1,147
2020-12-10,88,1,103
2020-12-11,92,1,134
2020-12-12,70,1,92
2020-12-13,66,1,114
2020-12-14,76,1,127
2020-12-15,62,2,139
2020-12-16,67,0,75
2020-12-17,62,0,105
2020-12-18,74,1,122
2020-12-19,65,1,105
2020-12-20,29,2,84
2020-12-21,55,2,101
2020-12-22,56,2,79
2020-12-23,82,1,76
2020-12-24,43,1,50
2020-12-25,36,0,52
2020-12-26,78,1,68
2020-12-27,63,0,56
2020-12-28,65,1,46
2020-12-29,64,0,81
2020-12-30,67,0,30
2020-12-31,66,1,78
2021-01-01,51,1,64
2021-01-02,66,1,117
2021-01-03,16,1,54
2021-01-04,55,1,68
2021-01-05,90,1,116
2021-01-06,78,1,61
2021-01-07,43,2,57
2021-01-08,54,1,55
2021-01-09,50,1,59
2021-01-10,44,0,31
2021-01-11,47,0,29
2021-01-12,36,1,24
2021-01-13,37,1,14
2021-01-14,23,1,41
2021-01-15,26,0,33
2021-01-16,39,0,67
2021-01-17,34,0,43
2021-01-18,27,0,53
2021-01-19,31,0,49
2021-01-20,28,0,42
2021-01-21,16,1,40
2021-01-22,25,1,33
2021-01-23,22,1,31
2021-01-24,32,1,22
2021-01-25,61,0,54
2021-01-26,0,0,0
2021-01-27,40,0,37
2021-01-28,36,0,24
2021-01-29,27,0,26
2021-01-30,17,0,25
2021-01-31,26,0,12
