Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,1,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,2,0,0
2020-03-26,3,0,0
2020-03-27,0,0,0
2020-03-28,1,0,0
2020-03-29,0,0,0
2020-03-30,1,0,0
2020-03-31,1,0,2
2020-04-01,0,0,0
2020-04-02,0,0,1
2020-04-03,0,0,0
2020-04-04,1,0,0
2020-04-05,0,0,5
2020-04-06,0,0,0
2020-04-07,0,0,1
2020-04-08,0,0,0
2020-04-09,8,0,0
2020-04-10,0,0,0
2020-04-11,7,0,0
2020-04-12,6,0,1
2020-04-13,0,0,0
2020-04-14,2,0,3
2020-04-15,0,0,4
2020-04-16,3,0,6
2020-04-17,0,0,1
2020-04-18,0,0,1
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,3
2020-04-23,0,0,2
2020-04-24,0,0,0
2020-04-25,1,0,2
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,1,0,2
2020-04-29,0,0,0
2020-04-30,2,0,2
2020-05-01,3,0,0
2020-05-02,0,0,0
2020-05-03,14,0,0
2020-05-04,1,0,0
2020-05-05,1,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,2
2020-05-09,0,0,5
2020-05-10,0,0,6
2020-05-11,0,0,4
2020-05-12,0,0,1
2020-05-13,0,0,1
2020-05-14,1,0,1
2020-05-15,6,0,0
2020-05-16,1,0,2
2020-05-17,18,0,1
2020-05-18,10,0,0
2020-05-19,5,0,0
2020-05-20,14,0,0
2020-05-21,14,0,0
2020-05-22,44,0,3
2020-05-23,42,0,2
2020-05-24,38,0,0
2020-05-25,40,0,3
2020-05-26,68,0,12
2020-05-27,4,0,4
2020-05-28,34,0,0
2020-05-29,17,1,17
2020-05-30,32,0,2
2020-05-31,51,0,12
2020-06-01,49,0,7
2020-06-02,15,1,9
2020-06-03,64,0,40
2020-06-04,147,0,36
2020-06-05,90,0,25
2020-06-06,60,2,28
2020-06-07,150,0,7
2020-06-08,124,0,69
2020-06-09,14,1,12
2020-06-10,51,1,4
2020-06-11,136,0,70
2020-06-12,47,0,123
2020-06-13,105,0,87
2020-06-14,121,3,88
2020-06-15,44,0,124
2020-06-16,69,0,91
2020-06-17,80,0,165
2020-06-18,82,0,103
2020-06-19,72,1,103
2020-06-20,116,1,63
2020-06-21,121,0,53
2020-06-22,47,1,66
2020-06-23,83,0,40
2020-06-24,34,0,74
2020-06-25,37,0,128
2020-06-26,89,1,156
2020-06-27,65,0,52
2020-06-28,84,0,125
2020-06-29,101,0,88
2020-06-30,63,0,100
2020-07-01,82,1,53
2020-07-02,73,0,59
2020-07-03,52,0,52
2020-07-04,96,0,112
2020-07-05,46,0,52
2020-07-06,98,0,66
2020-07-07,110,0,84
2020-07-08,111,0,107
2020-07-09,140,1,68
2020-07-10,166,2,125
2020-07-11,65,0,42
2020-07-12,184,2,83
2020-07-13,184,0,49
2020-07-14,114,1,73
2020-07-15,177,0,49
2020-07-16,198,1,127
2020-07-17,249,3,61
2020-07-18,243,0,146
2020-07-19,161,0,117
2020-07-20,191,4,169
2020-07-21,133,1,170
2020-07-22,268,0,116
2020-07-23,371,5,157
2020-07-24,449,2,180
2020-07-25,363,3,116
2020-07-26,431,4,261
2020-07-27,367,2,228
2020-07-28,306,1,267
2020-07-29,314,4,197
2020-07-30,256,1,285
2020-07-31,336,3,309
2020-08-01,235,1,380
2020-08-02,181,3,381
2020-08-03,212,3,265
2020-08-04,382,8,357
2020-08-05,295,2,258
2020-08-06,523,6,217
2020-08-07,388,10,231
2020-08-08,447,3,263
2020-08-09,293,6,227
2020-08-10,477,3,208
2020-08-11,360,5,222
2020-08-12,567,5,269
2020-08-13,478,8,150
2020-08-14,529,13,199
2020-08-15,486,4,189
2020-08-16,576,8,189
2020-08-17,404,8,363
2020-08-18,808,8,249
2020-08-19,752,6,338
2020-08-20,1052,8,554
2020-08-21,873,8,283
2020-08-22,704,10,372
2020-08-23,704,7,537
2020-08-24,1136,9,493
2020-08-25,1287,15,308
2020-08-26,1209,10,413
2020-08-27,1438,14,462
2020-08-28,1245,6,502
2020-08-29,1513,11,709
2020-08-30,1346,7,485
2020-08-31,1411,8,686
2020-09-01,1884,10,578
2020-09-02,2296,12,653
2020-09-03,2284,16,730
2020-09-04,2667,22,658
2020-09-05,2529,19,879
2020-09-06,2100,24,711
2020-09-07,2017,15,979
2020-09-08,2834,12,615
2020-09-09,2818,70,1146
2020-09-10,2748,16,1917
2020-09-11,2963,25,1268
2020-09-12,3120,21,855
2020-09-13,2228,16,3953
2020-09-14,3336,18,1178
2020-09-15,3450,15,1129
2020-09-16,3189,23,1647
2020-09-17,3809,17,5226
2020-09-18,3842,17,3281
2020-09-19,2617,19,1689
2020-09-20,1949,13,1572
2020-09-21,1998,13,1911
2020-09-22,2736,28,2437
2020-09-23,2434,10,4772
2020-09-24,2272,24,2060
2020-09-25,2942,25,8027
2020-09-26,3896,40,4095
2020-09-27,2272,31,1269
2020-09-28,3725,29,2313
2020-09-29,2197,39,3977
2020-09-30,2947,41,3204
2020-10-01,2551,29,2981
2020-10-02,2637,16,3396
2020-10-03,2610,29,2982
2020-10-04,1924,14,2654
2020-10-05,2681,36,3336
2020-10-06,2888,23,3484
2020-10-07,2846,30,3277
2020-10-08,2873,24,2199
2020-10-09,2958,38,2908
2020-10-10,2688,39,2719
2020-10-11,2114,18,2117
2020-10-12,2875,33,2769
2020-10-13,2619,20,2810
2020-10-14,2830,33,2198
2020-10-15,2819,46,2395
2020-10-16,2472,40,2926
2020-10-17,2515,14,3014
2020-10-18,1894,39,2285
2020-10-19,2376,56,3091
2020-10-20,2507,50,2727
2020-10-21,2360,44,2230
2020-10-22,2491,52,2996
2020-10-23,2450,58,3010
2020-10-24,2011,55,2677
2020-10-25,1368,25,1499
2020-10-26,1649,43,3256
2020-10-27,2046,20,2426
2020-10-28,1929,55,1400
2020-10-29,2005,53,1788
2020-10-30,1718,49,1650
2020-10-31,1964,63,2161
2020-11-01,1543,49,1458
2020-11-02,1700,58,1854
2020-11-03,1724,58,1810
2020-11-04,2262,50,1209
2020-11-05,1734,44,1350
2020-11-06,1758,52,1753
2020-11-07,1571,22,1359
2020-11-08,1375,13,2257
2020-11-09,1586,17,2709
2020-11-10,1679,18,2157
2020-11-11,1721,25,2195
2020-11-12,1817,20,1962
2020-11-13,1548,18,2370
2020-11-14,716,17,645
2020-11-15,530,16,702
2020-11-16,1110,26,1594
2020-11-17,1721,19,1718
2020-11-18,2048,23,1816
2020-11-19,2149,26,1472
2020-11-20,1842,19,1427
2020-11-21,2284,22,1420
2020-11-22,1748,19,995
2020-11-23,2061,14,1514
2020-11-24,1829,21,919
2020-11-25,1877,16,0
2020-11-26,1753,18,2454
2020-11-27,1879,12,3985
2020-11-28,1890,17,2734
2020-11-29,1273,10,1600
2020-11-30,1324,21,2309
2020-12-01,1893,31,2164
2020-12-02,1648,27,1205
2020-12-03,1555,22,1982
2020-12-04,1579,15,1513
2020-12-05,1583,21,1380
2020-12-06,1229,12,702
2020-12-07,1423,21,1861
2020-12-08,1467,15,1525
2020-12-09,1421,13,1146
2020-12-10,1518,16,1934
2020-12-11,1491,14,2477
2020-12-12,1632,16,1322
2020-12-13,1259,13,816
2020-12-14,1615,19,1735
2020-12-15,1605,19,2880
2020-12-16,1661,10,1820
2020-12-17,1584,11,1634
2020-12-18,1413,7,1325
2020-12-19,1368,9,1807
2020-12-20,953,9,1426
2020-12-21,1258,18,1738
2020-12-22,1380,13,1548
2020-12-23,1337,15,1566
2020-12-24,1232,22,1692
2020-12-25,853,14,1233
2020-12-26,1045,12,1764
2020-12-27,825,18,1134
2020-12-28,1188,26,1901
2020-12-29,1134,17,1607
2020-12-30,1069,14,1588
2020-12-31,1035,21,1518
2021-01-01,932,4,1019
2021-01-02,1147,11,1963
2021-01-03,714,14,1237
2021-01-04,1147,12,1349
2021-01-05,1021,25,1651
2021-01-06,1050,10,1042
2021-01-07,1010,7,1253
2021-01-08,960,15,759
2021-01-09,1014,15,770
2021-01-10,661,6,962
2021-01-11,853,15,1255
2021-01-12,729,12,1207
