Date,Confirmed,Deceased,Recovered
2020-03-14,14,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,1,0,0
2020-03-18,1,0,0
2020-03-19,1,0,0
2020-03-20,2,0,0
2020-03-21,2,0,0
2020-03-22,0,0,0
2020-03-23,7,0,11
2020-03-24,2,0,0
2020-03-25,1,0,0
2020-03-26,1,0,0
2020-03-27,1,0,0
2020-03-28,2,0,0
2020-03-29,0,0,0
2020-03-30,1,0,6
2020-03-31,7,0,0
2020-04-01,0,0,10
2020-04-02,6,0,0
2020-04-03,9,0,0
2020-04-04,26,0,1
2020-04-05,6,0,0
2020-04-06,20,2,0
2020-04-07,33,0,2
2020-04-08,24,0,1
2020-04-09,3,0,0
2020-04-10,6,0,4
2020-04-11,3,0,0
2020-04-12,16,1,8
2020-04-13,1,0,7
2020-04-14,2,0,4
2020-04-15,6,0,2
2020-04-16,11,0,8
2020-04-17,8,0,21
2020-04-18,9,0,14
2020-04-19,18,0,4
2020-04-20,1,0,37
2020-04-21,4,0,6
2020-04-22,9,0,11
2020-04-23,6,0,12
2020-04-24,5,0,16
2020-04-25,12,0,5
2020-04-26,9,0,8
2020-04-27,5,0,14
2020-04-28,7,0,11
2020-04-29,3,0,1
2020-04-30,28,1,10
2020-05-01,18,0,6
2020-05-02,19,1,1
2020-05-03,66,0,3
2020-05-04,75,1,9
2020-05-05,31,0,2
2020-05-06,46,1,4
2020-05-07,31,0,0
2020-05-08,22,1,19
2020-05-09,28,1,11
2020-05-10,28,1,10
2020-05-11,27,1,37
2020-05-12,50,0,5
2020-05-13,13,0,76
2020-05-14,25,0,21
2020-05-15,36,2,25
2020-05-16,33,0,50
2020-05-17,23,1,48
2020-05-18,18,0,36
2020-05-19,36,0,29
2020-05-20,29,0,21
2020-05-21,37,0,33
2020-05-22,37,2,25
2020-05-23,64,0,44
2020-05-24,53,0,15
2020-05-25,29,0,37
2020-05-26,92,0,22
2020-05-27,76,2,14
2020-05-28,123,1,43
2020-05-29,217,0,59
2020-05-30,202,1,31
2020-05-31,168,0,77
2020-06-01,265,1,7
2020-06-02,296,2,14
2020-06-03,302,0,20
2020-06-04,327,1,34
2020-06-05,316,0,86
2020-06-06,355,0,71
2020-06-07,496,4,194
2020-06-08,406,11,226
2020-06-09,355,6,107
2020-06-10,370,7,381
2020-06-11,389,12,73
2020-06-12,366,6,214
2020-06-13,415,8,328
2020-06-14,459,10,200
2020-06-15,514,12,562
2020-06-16,550,18,183
2020-06-17,560,12,204
2020-06-18,386,4,604
2020-06-19,525,10,333
2020-06-20,480,5,239
2020-06-21,412,11,429
2020-06-22,390,9,359
2020-06-23,495,9,582
2020-06-24,490,10,427
2020-06-25,453,10,455
2020-06-26,421,13,636
2020-06-27,543,7,456
2020-06-28,402,5,445
2020-06-29,381,9,585
2020-06-30,338,4,470
2020-07-01,393,4,527
2020-07-02,568,11,520
2020-07-03,494,4,672
2020-07-04,545,5,566
2020-07-05,457,5,687
2020-07-06,499,11,391
2020-07-07,495,3,310
2020-07-08,691,3,461
2020-07-09,674,5,399
2020-07-10,570,3,399
2020-07-11,648,7,490
2020-07-12,658,4,589
2020-07-13,689,7,654
2020-07-14,699,4,453
2020-07-15,678,7,577
2020-07-16,696,3,518
2020-07-17,795,5,533
2020-07-18,750,17,600
2020-07-19,617,5,475
2020-07-20,694,6,433
2020-07-21,604,9,726
2020-07-22,724,8,745
2020-07-23,789,6,552
2020-07-24,780,4,704
2020-07-25,783,7,701
2020-07-26,794,3,730
2020-07-27,795,5,662
2020-07-28,749,9,712
2020-07-29,755,7,662
2020-07-30,623,4,920
2020-07-31,711,4,887
2020-08-01,793,7,853
2020-08-02,761,5,610
2020-08-03,654,7,780
2020-08-04,623,8,756
2020-08-05,752,7,734
2020-08-06,755,3,680
2020-08-07,751,9,804
2020-08-08,789,7,587
2020-08-09,792,9,750
2020-08-10,794,6,711
2020-08-11,798,11,590
2020-08-12,797,3,612
2020-08-13,793,8,792
2020-08-14,797,7,862
2020-08-15,796,10,591
2020-08-16,743,10,662
2020-08-17,887,12,1009
2020-08-18,896,7,688
2020-08-19,994,10,758
2020-08-20,996,11,737
2020-08-21,1203,7,620
2020-08-22,1161,12,600
2020-08-23,1096,6,809
2020-08-24,1074,10,583
2020-08-25,1148,10,1091
2020-08-26,1397,11,1117
2020-08-27,1293,12,1077
2020-08-28,1298,15,1020
2020-08-29,1391,9,1001
2020-08-30,1295,12,909
2020-08-31,1450,7,1052
2020-09-01,1694,17,1163
2020-09-02,1792,15,1040
2020-09-03,1881,19,1014
2020-09-04,1884,19,1282
2020-09-05,2289,22,1409
2020-09-06,2277,25,1471
2020-09-07,2224,23,1560
2020-09-08,2286,25,1704
2020-09-09,2294,28,1828
2020-09-10,2591,25,1562
2020-09-11,2388,25,1820
2020-09-12,2783,24,2188
2020-09-13,2526,19,1874
2020-09-14,2488,25,2125
2020-09-15,2493,26,2454
