Date,Confirmed,Deceased,Recovered
2020-03-14,2,0,0
2020-03-15,0,0,0
2020-03-16,1,0,0
2020-03-17,0,0,0
2020-03-18,1,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,2,0,0
2020-03-25,5,0,1
2020-03-26,3,1,0
2020-03-27,6,0,0
2020-03-28,13,0,0
2020-03-29,5,0,0
2020-03-30,11,0,0
2020-03-31,6,1,0
2020-04-01,7,0,1
2020-04-02,8,0,1
2020-04-03,5,0,0
2020-04-04,17,0,0
2020-04-05,14,0,1
2020-04-06,3,0,0
2020-04-07,16,1,0
2020-04-08,33,0,2
2020-04-09,26,1,0
2020-04-10,23,0,0
2020-04-11,17,0,0
2020-04-12,21,0,0
2020-04-13,25,0,10
2020-04-14,8,0,14
2020-04-15,22,0,6
2020-04-16,14,0,2
2020-04-17,14,1,4
2020-04-18,13,0,9
2020-04-19,13,0,5
2020-04-20,14,0,15
2020-04-21,12,0,10
2020-04-22,27,0,11
2020-04-23,27,0,0
2020-04-24,20,0,17
2020-04-25,40,1,3
2020-04-26,29,0,25
2020-04-27,23,1,27
2020-04-28,19,1,12
2020-04-29,16,0,16
2020-04-30,33,0,24
2020-05-01,25,0,31
2020-05-02,27,0,7
2020-05-03,35,0,33
2020-05-04,25,0,16
2020-05-05,15,0,17
2020-05-06,34,0,2
2020-05-07,18,1,13
2020-05-08,30,0,29
2020-05-09,13,0,4
2020-05-10,25,0,15
2020-05-11,18,1,44
2020-05-12,55,0,28
2020-05-13,37,1,11
2020-05-14,12,0,19
2020-05-15,30,0,28
2020-05-16,108,1,29
2020-05-17,62,1,33
2020-05-18,106,2,34
2020-05-19,28,2,38
2020-05-20,73,1,31
2020-05-21,59,2,6
2020-05-22,40,0,36
2020-05-23,80,1,54
2020-05-24,52,0,35
2020-05-25,47,2,0
2020-05-26,91,1,24
2020-05-27,162,2,21
2020-05-28,115,1,5
2020-05-29,128,1,16
2020-05-30,177,0,33
2020-05-31,105,0,19
2020-06-01,155,3,19
2020-06-02,117,2,7
2020-06-03,139,1,54
2020-06-04,285,1,41
2020-06-05,182,1,38
2020-06-06,143,3,40
2020-06-07,620,2,90
2020-06-08,198,4,108
2020-06-09,61,3,182
2020-06-10,161,3,165
2020-06-11,67,1,149
2020-06-12,156,1,266
2020-06-13,148,2,183
2020-06-14,163,4,120
2020-06-15,179,3,215
2020-06-16,78,1,177
2020-06-17,108,1,133
2020-06-18,149,7,230
2020-06-19,125,4,50
2020-06-20,154,6,142
2020-06-21,122,1,46
2020-06-22,132,3,149
2020-06-23,148,2,111
2020-06-24,186,1,176
2020-06-25,127,2,149
2020-06-26,213,1,113
2020-06-27,204,2,145
2020-06-28,127,1,91
2020-06-29,144,1,269
2020-06-30,260,6,137
2020-07-01,198,4,134
2020-07-02,154,10,118
2020-07-03,170,4,101
2020-07-04,227,8,68
2020-07-05,183,5,112
2020-07-06,246,6,63
2020-07-07,256,5,81
2020-07-08,330,6,168
2020-07-09,240,5,128
2020-07-10,387,5,91
2020-07-11,268,10,109
2020-07-12,357,10,84
2020-07-13,314,8,116
2020-07-14,346,8,128
2020-07-15,493,11,114
2020-07-16,490,16,109
2020-07-17,601,9,112
2020-07-18,441,5,607
2020-07-19,701,8,646
2020-07-20,751,10,463
2020-07-21,608,9,181
2020-07-22,453,10,152
2020-07-23,718,9,102
2020-07-24,353,14,508
2020-07-25,523,9,300
2020-07-26,615,7,411
2020-07-27,470,9,474
2020-07-28,489,12,483
2020-07-29,540,15,437
2020-07-30,450,17,520
2020-07-31,490,12,375
2020-08-01,613,11,654
2020-08-02,444,8,256
2020-08-03,590,11,905
2020-08-04,390,10,824
2020-08-05,559,9,388
2020-08-06,499,10,464
2020-08-07,473,13,510
2020-08-08,463,10,449
2020-08-09,507,13,336
2020-08-10,470,6,372
2020-08-11,564,12,604
2020-08-12,482,8,544
2020-08-13,536,11,779
2020-08-14,540,11,640
2020-08-15,532,7,734
2020-08-16,449,15,267
2020-08-17,422,6,353
2020-08-18,434,13,590
2020-08-19,708,11,611
2020-08-20,683,6,728
2020-08-21,654,15,580
2020-08-22,610,15,593
2020-08-23,666,9,434
2020-08-24,428,7,373
2020-08-25,701,14,389
2020-08-26,704,19,599
2020-08-27,655,14,528
2020-08-28,696,7,651
2020-08-29,546,7,648
2020-08-30,786,9,490
2020-08-31,535,9,505
2020-09-01,525,14,469
2020-09-02,641,15,595
2020-09-03,1079,11,680
2020-09-04,1047,12,676
2020-09-05,1251,15,489
2020-09-06,1316,14,403
2020-09-07,1013,17,433
2020-09-08,1355,14,491
2020-09-09,1617,17,620
2020-09-10,1592,13,344
2020-09-11,1578,9,474
2020-09-12,1698,10,596
2020-09-13,1686,14,452
2020-09-14,1229,17,644
2020-09-15,1329,19,681
2020-09-16,1590,18,747
2020-09-17,1467,19,712
2020-09-18,1330,15,784
2020-09-19,1492,21,960
2020-09-20,1457,14,692
2020-09-21,1036,23,1158
2020-09-22,1235,18,1619
2020-09-23,1249,20,2796
2020-09-24,1104,22,1549
2020-09-25,1218,21,1478
2020-09-26,1217,20,1937
2020-09-27,1141,7,1365
2020-09-28,824,14,1408
2020-09-29,1081,18,1250
2020-09-30,975,17,1355
2020-10-01,1093,17,1680
2020-10-02,1090,14,1400
2020-10-03,975,19,1399
2020-10-04,878,11,1053
2020-10-05,632,10,1386
2020-10-06,738,16,1706
2020-10-07,621,14,2188
2020-10-08,696,9,1336
2020-10-09,636,15,959
2020-10-10,635,7,976
2020-10-11,569,9,890
2020-10-12,398,11,861
2020-10-13,677,7,796
