Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,1,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,1,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,1
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,1
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,1,0,0
2020-05-15,0,0,0
2020-05-16,4,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,2,0,0
2020-05-20,16,0,0
2020-05-21,0,0,0
2020-05-22,1,0,0
2020-05-23,3,0,0
2020-05-24,3,0,2
2020-05-25,4,0,0
2020-05-26,3,0,0
2020-05-27,5,0,0
2020-05-28,11,0,0
2020-05-29,4,0,2
2020-05-30,1,0,0
2020-05-31,11,0,5
2020-06-01,12,0,0
2020-06-02,6,0,3
2020-06-03,19,0,24
2020-06-04,16,0,0
2020-06-05,8,0,0
2020-06-06,25,0,14
2020-06-07,15,0,0
2020-06-08,100,0,6
2020-06-09,32,0,6
2020-06-10,7,0,0
2020-06-11,55,0,9
2020-06-12,19,0,0
2020-06-13,64,0,0
2020-06-14,9,0,18
2020-06-15,32,0,60
2020-06-16,10,0,8
2020-06-17,52,0,33
2020-06-18,54,0,7
2020-06-19,75,0,19
2020-06-20,96,0,14
2020-06-21,64,0,18
2020-06-22,57,0,0
2020-06-23,23,0,8
2020-06-24,49,0,70
2020-06-25,86,0,26
2020-06-26,19,0,39
2020-06-27,17,0,39
2020-06-28,93,0,23
2020-06-29,42,0,39
2020-06-30,7,0,59
2020-07-01,26,0,26
2020-07-02,19,0,37
2020-07-03,37,0,23
2020-07-04,9,0,28
2020-07-05,41,0,22
2020-07-06,24,0,45
2020-07-07,40,0,37
2020-07-08,5,0,22
2020-07-09,15,0,6
2020-07-10,132,0,33
2020-07-11,11,0,11
2020-07-12,16,0,53
2020-07-13,17,0,74
2020-07-14,46,0,50
2020-07-15,28,0,60
2020-07-16,64,0,49
2020-07-17,36,0,34
2020-07-18,91,0,19
2020-07-19,20,0,53
2020-07-20,14,0,85
2020-07-21,90,0,64
2020-07-22,45,0,34
2020-07-23,55,0,42
2020-07-24,31,0,31
2020-07-25,30,0,29
2020-07-26,59,0,1
2020-07-27,51,0,38
2020-07-28,31,0,56
2020-07-29,141,1,38
2020-07-30,47,3,19
2020-07-31,116,1,17
2020-08-01,135,1,10
2020-08-02,75,1,38
2020-08-03,89,0,29
2020-08-04,98,0,48
2020-08-05,75,0,48
2020-08-06,124,1,43
2020-08-07,249,2,21
2020-08-08,169,1,1
2020-08-09,118,0,117
2020-08-10,100,0,78
2020-08-11,88,1,33
2020-08-12,41,0,76
2020-08-13,130,1,64
2020-08-14,86,0,65
2020-08-15,192,0,78
2020-08-16,179,3,194
2020-08-17,118,1,102
2020-08-18,78,1,55
2020-08-19,111,0,96
2020-08-20,49,0,117
2020-08-21,124,2,259
2020-08-22,83,2,194
2020-08-23,114,0,161
2020-08-24,116,0,97
2020-08-25,82,2,99
2020-08-26,141,1,17
2020-08-27,140,0,128
2020-08-28,118,2,100
2020-08-29,117,1,129
2020-08-30,152,0,53
2020-08-31,140,0,91
2020-09-01,130,1,120
2020-09-02,125,0,157
2020-09-03,102,3,167
2020-09-04,90,3,125
2020-09-05,184,1,76
2020-09-06,139,2,189
2020-09-07,84,0,194
2020-09-08,96,1,126
2020-09-09,160,1,64
2020-09-10,108,4,245
2020-09-11,109,0,209
2020-09-12,152,1,100
2020-09-13,144,1,89
2020-09-14,96,0,149
2020-09-15,239,1,78
2020-09-16,110,1,103
2020-09-17,110,3,18
2020-09-18,177,1,90
2020-09-19,117,3,94
2020-09-20,170,2,44
2020-09-21,116,2,71
2020-09-22,270,1,49
2020-09-23,96,2,221
2020-09-24,161,0,261
2020-09-25,254,1,233
2020-09-26,260,1,79
2020-09-27,248,0,195
2020-09-28,178,0,106
2020-09-29,269,1,57
2020-09-30,237,2,421
2020-10-01,128,1,181
2020-10-02,286,1,351
2020-10-03,252,2,89
2020-10-04,206,3,124
2020-10-05,250,1,129
2020-10-06,135,3,148
2020-10-07,249,2,122
2020-10-08,190,3,115
2020-10-09,131,3,147
2020-10-10,282,2,440
2020-10-11,234,3,198
2020-10-12,230,2,203
2020-10-13,237,4,122
2020-10-14,301,6,86
2020-10-15,284,1,166
2020-10-16,337,5,164
2020-10-17,426,2,198
2020-10-18,322,5,298
2020-10-19,315,1,172
2020-10-20,284,4,146
2020-10-21,214,3,138
2020-10-22,345,3,196
2020-10-23,156,5,169
2020-10-24,245,6,157
2020-10-25,138,1,138
2020-10-26,264,5,200
2020-10-27,180,6,151
2020-10-28,205,6,212
2020-10-29,242,4,163
2020-10-30,221,4,222
2020-10-31,230,4,1057
2020-11-01,248,3,203
2020-11-02,341,9,278
2020-11-03,150,4,117
2020-11-04,262,3,158
2020-11-05,222,2,132
2020-11-06,166,2,342
2020-11-07,240,3,622
2020-11-08,245,3,358
2020-11-09,182,1,187
2020-11-10,219,2,275
2020-11-11,180,2,164
2020-11-12,254,5,191
2020-11-13,214,6,255
2020-11-14,211,5,190
2020-11-15,235,3,259
2020-11-16,178,3,239
2020-11-17,159,1,233
2020-11-18,110,6,194
2020-11-19,230,0,172
2020-11-20,200,1,189
2020-11-21,270,1,193
2020-11-22,382,3,205
2020-11-23,250,2,356
2020-11-24,290,2,151
2020-11-25,193,5,115
2020-11-26,159,4,158
2020-11-27,222,7,208
2020-11-28,235,7,197
2020-11-29,161,10,198
2020-11-30,135,8,165
2020-12-01,198,8,152
2020-12-02,147,2,219
2020-12-03,146,3,235
2020-12-04,155,1,273
2020-12-05,166,4,210
2020-12-06,216,7,193
2020-12-07,152,3,149
2020-12-08,171,2,169
2020-12-09,138,7,135
2020-12-10,151,0,96
2020-12-11,174,2,144
2020-12-12,177,2,116
2020-12-13,119,0,102
2020-12-14,54,2,980
2020-12-15,83,3,141
2020-12-16,81,2,227
2020-12-17,81,3,143
2020-12-18,86,2,121
2020-12-19,58,2,141
2020-12-20,48,1,134
2020-12-21,38,0,133
2020-12-22,39,0,149
2020-12-23,104,1,102
2020-12-24,49,3,143
2020-12-25,67,3,74
2020-12-26,33,0,84
2020-12-27,53,4,73
2020-12-28,31,0,74
2020-12-29,36,5,43
2020-12-30,41,1,80
2020-12-31,51,1,77
2021-01-01,18,1,64
2021-01-02,37,1,40
2021-01-03,38,1,33
2021-01-04,51,3,47
2021-01-05,86,2,751
2021-01-06,66,0,29
2021-01-07,47,1,35
2021-01-08,48,0,58
2021-01-09,67,1,31
2021-01-10,14,0,39
2021-01-11,33,0,46
2021-01-12,32,0,28
2021-01-13,44,0,56
2021-01-14,18,0,41
2021-01-15,24,0,34
2021-01-16,24,1,79
2021-01-17,21,0,58
2021-01-18,11,0,58
2021-01-19,33,1,93
2021-01-20,19,0,10
2021-01-21,19,0,43
2021-01-22,15,2,36
2021-01-23,17,0,18
2021-01-24,16,0,11
2021-01-25,11,0,26
2021-01-26,6,0,21
2021-01-27,4,1,13
2021-01-28,15,0,23
2021-01-29,15,1,25
2021-01-30,15,0,21
2021-01-31,16,0,8
