Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,1,0,0
2020-04-14,0,0,0
2020-04-15,6,1,0
2020-04-16,2,0,0
2020-04-17,0,0,0
2020-04-18,2,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,1,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,10
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,1,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,1
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,1
2020-05-19,0,0,0
2020-05-20,1,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,1,0,0
2020-05-26,5,0,0
2020-05-27,0,0,0
2020-05-28,1,0,0
2020-05-29,6,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,1,0,0
2020-06-02,2,0,0
2020-06-03,3,0,1
2020-06-04,0,0,0
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,3,0,0
2020-06-08,3,0,0
2020-06-09,4,0,0
2020-06-10,1,0,0
2020-06-11,0,0,5
2020-06-12,0,0,4
2020-06-13,0,0,1
2020-06-14,0,0,3
2020-06-15,0,0,0
2020-06-16,0,0,2
2020-06-17,-1,0,3
2020-06-18,0,0,1
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,5
2020-06-22,2,0,0
2020-06-23,1,0,4
2020-06-24,0,0,0
2020-06-25,0,0,1
2020-06-26,2,0,0
2020-06-27,0,0,0
2020-06-28,2,0,0
2020-06-29,1,0,0
2020-06-30,2,0,0
2020-07-01,2,0,0
2020-07-02,3,0,1
2020-07-03,4,0,0
2020-07-04,8,0,0
2020-07-05,2,0,0
2020-07-06,16,0,0
2020-07-07,6,0,0
2020-07-08,6,1,2
2020-07-09,13,0,0
2020-07-10,73,0,0
2020-07-11,76,0,0
2020-07-12,33,0,0
2020-07-13,21,0,1
2020-07-14,2,0,0
2020-07-15,19,0,0
2020-07-16,40,0,3
2020-07-17,26,0,0
2020-07-18,15,0,0
2020-07-19,32,2,0
2020-07-20,19,0,3
2020-07-21,21,0,18
2020-07-22,24,0,7
2020-07-23,20,0,5
2020-07-24,53,1,5
2020-07-25,59,0,7
2020-07-26,56,0,41
2020-07-27,36,0,51
2020-07-28,41,0,8
2020-07-29,5,0,13
2020-07-30,19,0,3
2020-07-31,20,0,5
2020-08-01,33,0,37
2020-08-02,18,0,12
2020-08-03,28,0,0
2020-08-04,15,0,66
2020-08-05,22,0,9
2020-08-06,51,0,6
2020-08-07,16,0,66
2020-08-08,17,1,12
2020-08-09,39,0,67
2020-08-10,53,0,8
2020-08-11,27,0,12
2020-08-12,37,0,7
2020-08-13,14,0,30
2020-08-14,35,0,34
2020-08-15,64,0,15
2020-08-16,82,0,79
2020-08-17,44,0,4
2020-08-18,39,0,6
2020-08-19,78,0,40
2020-08-20,126,0,5
2020-08-21,57,0,19
2020-08-22,93,1,20
2020-08-23,106,1,7
2020-08-24,59,0,13
2020-08-25,42,0,43
2020-08-26,32,0,42
2020-08-27,80,1,25
2020-08-28,110,1,59
2020-08-29,43,0,77
2020-08-30,60,0,14
2020-08-31,25,0,113
2020-09-01,72,2,73
2020-09-02,77,1,83
2020-09-03,109,0,75
2020-09-04,108,1,75
2020-09-05,182,1,59
2020-09-06,89,1,29
2020-09-07,29,1,4
2020-09-08,42,0,156
2020-09-09,121,2,107
2020-09-10,99,1,19
2020-09-11,151,4,47
2020-09-12,168,1,131
2020-09-13,109,1,55
2020-09-14,139,2,76
2020-09-15,174,1,39
2020-09-16,158,0,74
2020-09-17,162,3,78
2020-09-18,90,2,95
2020-09-19,112,2,46
2020-09-20,101,0,30
2020-09-21,73,2,15
2020-09-22,58,2,179
2020-09-23,170,2,152
2020-09-24,122,1,199
2020-09-25,75,0,285
2020-09-26,54,0,311
2020-09-27,90,0,125
2020-09-28,60,3,89
2020-09-29,101,1,72
2020-09-30,176,2,35
2020-10-01,163,2,26
2020-10-02,231,1,225
2020-10-03,423,2,93
2020-10-04,200,0,74
2020-10-05,111,5,98
2020-10-06,270,1,115
2020-10-07,128,0,88
2020-10-08,96,0,138
2020-10-09,127,1,71
2020-10-10,156,1,142
2020-10-11,139,1,97
2020-10-12,88,1,131
2020-10-13,67,1,133
2020-10-14,153,5,176
2020-10-15,173,3,64
2020-10-16,139,2,90
2020-10-17,101,0,298
2020-10-18,104,0,248
2020-10-19,28,0,110
2020-10-20,57,1,105
2020-10-21,28,1,177
2020-10-22,99,1,307
2020-10-23,81,1,111
2020-10-24,83,1,136
2020-10-25,136,1,104
2020-10-26,0,0,0
2020-10-27,70,1,172
2020-10-28,90,3,134
2020-10-29,77,2,113
2020-10-30,77,0,235
2020-10-31,70,1,220
2020-11-01,155,2,117
2020-11-02,71,0,117
2020-11-03,63,0,101
2020-11-04,60,0,72
2020-11-05,92,1,61
2020-11-06,86,0,91
2020-11-07,68,2,55
2020-11-08,155,0,116
2020-11-09,28,1,37
2020-11-10,66,0,129
2020-11-11,72,0,71
2020-11-12,144,4,56
2020-11-13,70,0,87
2020-11-14,51,2,63
2020-11-15,35,0,76
2020-11-16,41,1,78
2020-11-17,85,1,283
2020-11-18,76,1,59
2020-11-19,109,1,60
2020-11-20,173,2,84
2020-11-21,117,2,78
2020-11-22,70,2,99
2020-11-23,58,0,57
2020-11-24,57,0,59
2020-11-25,59,0,37
2020-11-26,68,0,36
2020-11-27,52,0,82
2020-11-28,71,1,129
2020-11-29,36,0,126
2020-11-30,70,0,75
2020-12-01,65,1,158
2020-12-02,79,2,60
2020-12-03,51,2,87
2020-12-04,62,2,78
2020-12-05,97,0,73
2020-12-06,73,2,61
2020-12-07,77,0,120
2020-12-08,96,2,113
2020-12-09,101,0,169
2020-12-10,75,1,28
2020-12-11,59,1,44
2020-12-12,98,1,50
2020-12-13,123,3,31
2020-12-14,75,2,50
2020-12-15,66,1,128
2020-12-16,65,2,66
2020-12-17,69,0,70
2020-12-18,48,0,148
2020-12-19,32,0,61
2020-12-20,32,1,89
2020-12-21,5,0,72
2020-12-22,41,0,43
2020-12-23,29,1,159
2020-12-24,12,0,28
2020-12-25,29,0,18
2020-12-26,2,3,45
2020-12-27,5,0,27
2020-12-28,3,0,30
2020-12-29,8,0,24
2020-12-30,21,1,19
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,40,0,88
2021-01-03,12,0,13
2021-01-04,22,0,18
2021-01-05,24,2,12
2021-01-06,19,0,14
2021-01-07,11,0,27
2021-01-08,24,2,5
2021-01-09,32,0,24
2021-01-10,19,0,27
2021-01-11,20,0,24
2021-01-12,20,0,19
2021-01-13,18,1,9
2021-01-14,18,0,17
2021-01-15,4,0,4
2021-01-16,2,0,15
2021-01-17,12,0,12
2021-01-18,2,0,2
2021-01-19,3,0,18
2021-01-20,7,0,7
2021-01-21,4,2,6
2021-01-22,2,0,3
2021-01-23,4,0,10
2021-01-24,5,0,16
2021-01-25,2,0,9
2021-01-26,6,0,12
2021-01-27,1,0,10
2021-01-28,8,0,7
2021-01-29,4,0,11
2021-01-30,8,0,17
2021-01-31,3,0,9
