Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,1,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,1
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,0,0,0
2020-05-27,0,0,0
2020-05-28,0,0,0
2020-05-29,0,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,0,0,0
2020-06-02,12,0,0
2020-06-03,1,0,0
2020-06-04,3,0,0
2020-06-05,7,0,0
2020-06-06,0,0,0
2020-06-07,10,0,0
2020-06-08,8,0,0
2020-06-09,46,0,0
2020-06-10,5,0,0
2020-06-11,9,0,0
2020-06-12,2,0,0
2020-06-13,6,0,0
2020-06-14,2,0,0
2020-06-15,5,0,0
2020-06-16,4,0,0
2020-06-17,0,0,0
2020-06-18,9,0,0
2020-06-19,0,0,8
2020-06-20,10,0,0
2020-06-21,1,0,0
2020-06-22,1,0,3
2020-06-23,0,0,7
2020-06-24,3,0,5
2020-06-25,0,0,6
2020-06-26,2,0,17
2020-06-27,3,0,8
2020-06-28,1,0,0
2020-06-29,0,0,6
2020-06-30,9,0,61
2020-07-01,0,0,1
2020-07-02,2,0,3
2020-07-03,0,0,1
2020-07-04,2,0,3
2020-07-05,22,0,3
2020-07-06,11,0,0
2020-07-07,1,0,6
2020-07-08,5,0,4
2020-07-09,0,0,0
2020-07-10,23,0,0
2020-07-11,1,0,7
2020-07-12,4,0,0
2020-07-13,2,0,1
2020-07-14,5,0,8
2020-07-15,0,0,0
2020-07-16,34,0,1
2020-07-17,10,0,0
2020-07-18,2,0,7
2020-07-19,0,0,0
2020-07-20,13,0,1
2020-07-21,0,0,0
2020-07-22,20,0,11
2020-07-23,9,0,4
2020-07-24,6,0,0
2020-07-25,29,0,0
2020-07-26,0,0,10
2020-07-27,0,0,0
2020-07-28,23,0,5
2020-07-29,11,0,17
2020-07-30,13,0,19
2020-07-31,0,0,13
2020-08-01,5,0,6
2020-08-02,57,0,5
2020-08-03,26,0,8
2020-08-04,6,0,16
2020-08-05,3,0,4
2020-08-06,33,0,2
2020-08-07,21,0,0
2020-08-08,8,0,8
2020-08-09,41,0,2
2020-08-10,12,0,25
2020-08-11,3,0,0
2020-08-12,25,0,7
2020-08-13,1,0,13
2020-08-14,8,0,4
2020-08-15,56,0,9
2020-08-16,64,0,15
2020-08-17,12,0,1
2020-08-18,26,0,7
2020-08-19,45,0,5
2020-08-20,14,0,18
2020-08-21,21,0,18
2020-08-22,8,0,1
2020-08-23,15,0,38
2020-08-24,0,0,2
2020-08-25,35,0,3
2020-08-26,14,0,9
2020-08-27,7,0,27
2020-08-28,29,0,14
2020-08-29,0,0,70
2020-08-30,5,0,5
2020-08-31,3,0,0
2020-09-01,1,0,21
2020-09-02,8,0,49
2020-09-03,20,0,10
2020-09-04,6,0,12
2020-09-05,16,0,32
2020-09-06,31,0,19
2020-09-07,21,0,0
2020-09-08,9,0,13
2020-09-09,69,0,5
2020-09-10,141,0,0
2020-09-11,20,0,40
2020-09-12,26,0,33
2020-09-13,35,0,7
2020-09-14,14,0,89
2020-09-15,40,0,3
2020-09-16,12,0,7
2020-09-17,26,0,20
2020-09-18,28,0,24
2020-09-19,14,0,16
2020-09-20,30,0,13
2020-09-21,7,0,10
2020-09-22,106,0,11
2020-09-23,22,0,72
2020-09-24,46,0,9
2020-09-25,27,0,184
2020-09-26,49,0,28
2020-09-27,30,0,52
2020-09-28,43,0,49
2020-09-29,50,0,131
2020-09-30,28,0,50
2020-10-01,32,0,123
2020-10-02,31,0,15
2020-10-03,54,0,36
2020-10-04,17,0,19
2020-10-05,0,0,46
2020-10-06,8,0,50
2020-10-07,20,0,8
2020-10-08,2,0,31
2020-10-09,7,0,48
2020-10-10,5,0,10
2020-10-11,13,0,26
2020-10-12,9,0,36
2020-10-13,18,0,47
2020-10-14,10,0,15
2020-10-15,8,0,13
2020-10-16,9,0,6
2020-10-17,16,0,10
2020-10-18,8,0,11
2020-10-19,0,0,3
2020-10-20,27,0,12
2020-10-21,30,0,11
2020-10-22,31,0,1
2020-10-23,18,0,9
2020-10-24,30,0,10
2020-10-25,58,0,0
2020-10-26,46,0,15
2020-10-27,34,0,15
2020-10-28,80,1,14
2020-10-29,49,0,18
2020-10-30,38,0,14
2020-10-31,28,0,21
2020-11-01,34,0,8
2020-11-02,1,0,48
2020-11-03,35,0,27
2020-11-04,101,0,61
2020-11-05,65,1,38
2020-11-06,32,0,12
2020-11-07,42,0,41
2020-11-08,58,0,92
2020-11-09,6,0,19
2020-11-10,60,0,47
2020-11-11,61,0,4
2020-11-12,25,0,51
2020-11-13,67,0,53
2020-11-14,59,1,28
2020-11-15,25,1,35
2020-11-16,3,1,26
2020-11-17,48,0,38
2020-11-18,37,0,61
2020-11-19,32,0,45
2020-11-20,28,0,40
2020-11-21,66,0,57
2020-11-22,40,0,48
2020-11-23,13,0,33
2020-11-24,50,0,95
2020-11-25,35,0,21
2020-11-26,20,0,33
2020-11-27,23,0,15
2020-11-28,18,0,58
2020-11-29,17,0,15
2020-11-30,2,0,59
2020-12-01,22,1,73
2020-12-02,22,0,12
2020-12-03,12,0,63
2020-12-04,7,0,35
2020-12-05,25,0,24
2020-12-06,21,0,17
2020-12-07,2,0,33
2020-12-08,32,0,8
2020-12-09,9,0,18
2020-12-10,7,0,8
2020-12-11,23,1,30
2020-12-12,17,0,16
2020-12-13,11,0,8
2020-12-14,5,0,25
2020-12-15,9,0,24
2020-12-16,31,0,13
2020-12-17,5,0,16
2020-12-18,9,0,18
2020-12-19,16,0,17
2020-12-20,12,0,6
2020-12-21,2,0,10
2020-12-22,9,0,13
2020-12-23,8,1,14
2020-12-24,15,0,24
2020-12-25,22,0,12
2020-12-26,0,0,10
2020-12-27,4,0,3
2020-12-28,2,0,19
2020-12-29,6,0,17
2020-12-30,9,0,6
2020-12-31,5,0,7
2021-01-01,12,0,2
2021-01-02,3,0,3
2021-01-03,4,0,18
2021-01-04,0,0,26
2021-01-05,11,0,6
2021-01-06,13,0,7
2021-01-07,9,0,12
2021-01-08,3,0,13
2021-01-09,16,0,1
2021-01-10,17,1,6
2021-01-11,1,0,2
2021-01-12,6,0,5
2021-01-13,4,0,1
2021-01-14,7,0,5
2021-01-15,0,0,7
2021-01-16,4,0,16
2021-01-17,8,0,7
2021-01-18,1,0,5
2021-01-19,6,0,11
2021-01-20,5,0,17
2021-01-21,12,0,6
2021-01-22,3,0,8
2021-01-23,0,0,2
2021-01-24,2,0,5
2021-01-25,0,0,9
2021-01-26,5,0,2
2021-01-27,3,0,6
2021-01-28,3,0,7
2021-01-29,1,0,5
2021-01-30,3,0,4
2021-01-31,6,0,8
