Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,1,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,2,0,0
2020-04-02,2,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,1
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,2,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,3
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,1,0,0
2020-04-26,0,0,0
2020-04-27,0,0,1
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,1,0,0
2020-05-03,0,0,1
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,1,0,2
2020-05-09,0,0,0
2020-05-10,2,0,1
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,1,0,0
2020-05-14,3,0,0
2020-05-15,0,0,0
2020-05-16,1,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,5,0,1
2020-05-20,1,0,0
2020-05-21,0,0,0
2020-05-22,3,0,0
2020-05-23,0,0,0
2020-05-24,15,0,2
2020-05-25,8,0,5
2020-05-26,0,0,0
2020-05-27,0,0,0
2020-05-28,4,0,0
2020-05-29,4,0,6
2020-05-30,0,0,0
2020-05-31,13,0,2
2020-06-01,9,0,0
2020-06-02,0,0,0
2020-06-03,11,0,8
2020-06-04,9,0,4
2020-06-05,5,0,6
2020-06-06,3,0,5
2020-06-07,12,0,1
2020-06-08,9,0,4
2020-06-09,4,0,2
2020-06-10,12,0,5
2020-06-11,13,2,7
2020-06-12,6,1,9
2020-06-13,13,0,6
2020-06-14,18,1,9
2020-06-15,8,0,4
2020-06-16,14,0,4
2020-06-17,29,1,10
2020-06-18,26,1,7
2020-06-19,16,1,2
2020-06-20,51,0,13
2020-06-21,28,1,9
2020-06-22,17,0,9
2020-06-23,19,1,16
2020-06-24,59,0,11
2020-06-25,41,0,11
2020-06-26,32,0,16
2020-06-27,85,1,18
2020-06-28,29,1,31
2020-06-29,42,0,10
2020-06-30,24,1,10
2020-07-01,25,0,29
2020-07-02,63,0,30
2020-07-03,22,1,53
2020-07-04,80,1,21
2020-07-05,42,0,43
2020-07-06,65,0,32
2020-07-07,32,0,37
2020-07-08,110,0,67
2020-07-09,49,2,35
2020-07-10,72,1,18
2020-07-11,65,1,53
2020-07-12,81,0,49
2020-07-13,50,0,46
2020-07-14,63,0,44
2020-07-15,65,3,60
2020-07-16,147,1,58
2020-07-17,89,3,67
2020-07-18,58,3,48
2020-07-19,109,0,92
2020-07-20,93,1,111
2020-07-21,87,1,53
2020-07-22,121,1,51
2020-07-23,120,3,31
2020-07-24,95,1,83
2020-07-25,139,3,78
2020-07-26,133,2,84
2020-07-27,85,3,75
2020-07-28,139,4,62
2020-07-29,166,0,92
2020-07-30,121,1,84
2020-07-31,174,1,142
2020-08-01,134,2,98
2020-08-02,200,1,111
2020-08-03,176,4,102
2020-08-04,165,2,126
2020-08-05,286,7,131
2020-08-06,188,5,140
2020-08-07,241,5,106
2020-08-08,261,5,140
2020-08-09,259,7,147
2020-08-10,242,2,154
2020-08-11,276,2,177
2020-08-12,481,5,144
2020-08-13,299,6,152
2020-08-14,315,4,181
2020-08-15,359,0,215
2020-08-16,378,4,219
2020-08-17,297,4,184
2020-08-18,367,9,282
2020-08-19,356,6,403
2020-08-20,540,8,322
2020-08-21,302,6,300
2020-08-22,518,8,373
2020-08-23,410,8,350
2020-08-24,337,5,285
2020-08-25,567,8,331
2020-08-26,504,8,213
2020-08-27,504,10,275
2020-08-28,590,9,319
2020-08-29,532,12,431
2020-08-30,571,10,457
2020-08-31,284,7,366
2020-09-01,355,12,341
2020-09-02,391,13,293
2020-09-03,424,7,311
2020-09-04,591,20,395
2020-09-05,394,18,433
2020-09-06,466,16,525
2020-09-07,284,11,503
2020-09-08,433,12,446
2020-09-09,335,10,386
2020-09-10,452,6,422
2020-09-11,490,12,394
2020-09-12,419,5,445
2020-09-13,388,15,342
2020-09-14,393,9,457
2020-09-15,375,11,495
2020-09-16,510,13,401
2020-09-17,317,13,330
2020-09-18,485,6,462
2020-09-19,543,11,494
2020-09-20,467,10,347
2020-09-21,268,9,509
2020-09-22,493,6,389
2020-09-23,543,8,439
2020-09-24,668,6,418
2020-09-25,594,7,470
2020-09-26,543,6,424
2020-09-27,368,13,443
2020-09-28,285,2,508
2020-09-29,381,2,460
2020-09-30,478,4,458
2020-10-01,480,4,431
2020-10-02,510,7,443
2020-10-03,218,2,396
2020-10-04,337,5,419
2020-10-05,188,4,458
2020-10-06,405,3,393
2020-10-07,479,5,316
2020-10-08,378,5,326
2020-10-09,365,2,287
2020-10-10,337,1,411
2020-10-11,308,4,337
2020-10-12,188,2,264
2020-10-13,267,2,310
2020-10-14,241,1,287
2020-10-15,241,2,213
2020-10-16,280,1,306
2020-10-17,212,3,313
2020-10-18,163,0,306
2020-10-19,106,1,230
2020-10-20,205,2,254
2020-10-21,170,3,242
2020-10-22,210,2,195
2020-10-23,154,2,216
2020-10-24,126,2,187
2020-10-25,81,2,187
2020-10-26,143,0,189
2020-10-27,146,0,163
2020-10-28,101,2,154
2020-10-29,178,2,142
2020-10-30,147,0,128
2020-10-31,105,0,147
2020-11-01,96,3,621
2020-11-02,69,0,482
2020-11-03,147,1,457
2020-11-04,104,1,419
2020-11-05,121,1,420
2020-11-06,125,0,314
2020-11-07,69,2,495
2020-11-08,94,1,135
2020-11-09,62,1,145
2020-11-10,100,2,113
2020-11-11,114,1,107
2020-11-12,65,2,69
2020-11-13,73,1,70
2020-11-14,47,0,66
2020-11-15,25,0,95
2020-11-16,13,0,95
2020-11-17,72,0,131
2020-11-18,56,0,194
2020-11-19,68,1,102
2020-11-20,52,0,101
2020-11-21,63,0,82
2020-11-22,45,0,88
2020-11-23,25,0,57
2020-11-24,51,0,39
2020-11-25,51,0,45
2020-11-26,20,0,21
2020-11-27,16,0,46
2020-11-28,46,0,41
2020-11-29,33,0,72
2020-11-30,33,1,52
2020-12-01,52,1,72
2020-12-02,59,1,65
2020-12-03,40,1,27
2020-12-04,46,1,62
2020-12-05,44,0,52
2020-12-06,35,0,62
2020-12-07,26,1,25
2020-12-08,41,0,45
2020-12-09,28,0,46
2020-12-10,24,2,18
2020-12-11,43,2,48
2020-12-12,38,0,59
2020-12-13,48,0,57
2020-12-14,21,1,50
2020-12-15,37,1,47
2020-12-16,32,1,28
2020-12-17,40,0,32
2020-12-18,48,1,38
2020-12-19,45,1,21
2020-12-20,33,2,25
2020-12-21,14,1,26
2020-12-22,49,2,19
2020-12-23,34,0,44
2020-12-24,40,0,26
2020-12-25,29,0,44
2020-12-26,33,1,26
2020-12-27,48,1,43
2020-12-28,33,0,35
2020-12-29,42,2,34
2020-12-30,26,0,26
2020-12-31,36,0,15
2021-01-01,32,0,50
2021-01-02,10,0,30
2021-01-03,50,0,38
2021-01-04,29,2,28
2021-01-05,47,0,31
2021-01-06,34,0,35
2021-01-07,35,1,47
2021-01-08,20,0,36
2021-01-09,36,0,51
2021-01-10,30,2,40
2021-01-11,22,0,34
2021-01-12,18,1,28
2021-01-13,29,0,44
2021-01-14,43,1,22
2021-01-15,28,0,32
2021-01-16,16,2,22
2021-01-17,35,0,37
2021-01-18,23,1,20
2021-01-19,37,0,26
2021-01-20,31,0,32
2021-01-21,35,0,32
2021-01-22,22,0,27
2021-01-23,36,1,27
2021-01-24,30,1,43
2021-01-25,18,0,26
2021-01-26,32,0,17
2021-01-27,24,1,36
2021-01-28,39,1,29
2021-01-29,31,0,27
2021-01-30,43,0,32
2021-01-31,21,1,41
