Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,1,0,0
2020-03-17,0,0,0
2020-03-18,1,0,0
2020-03-19,1,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,1,0,0
2020-03-24,0,0,0
2020-03-25,1,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,1,0,1
2020-03-29,1,0,0
2020-03-30,0,0,1
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,3,0,0
2020-04-03,6,0,0
2020-04-04,6,0,0
2020-04-05,4,0,2
2020-04-06,5,0,0
2020-04-07,0,0,0
2020-04-08,4,0,1
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,2
2020-04-14,2,0,2
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,3,0,0
2020-04-18,2,0,0
2020-04-19,2,0,2
2020-04-20,2,0,7
2020-04-21,0,0,1
2020-04-22,0,0,4
2020-04-23,1,0,1
2020-04-24,1,0,1
2020-04-25,0,0,1
2020-04-26,3,0,0
2020-04-27,0,0,0
2020-04-28,3,0,0
2020-04-29,1,0,2
2020-04-30,2,0,8
2020-05-01,0,1,1
2020-05-02,2,0,2
2020-05-03,1,0,0
2020-05-04,0,0,0
2020-05-05,1,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,2,0,6
2020-05-09,4,0,1
2020-05-10,1,0,0
2020-05-11,0,0,0
2020-05-12,1,0,0
2020-05-13,3,0,0
2020-05-14,6,0,4
2020-05-15,4,0,1
2020-05-16,9,0,0
2020-05-17,1,0,1
2020-05-18,4,0,0
2020-05-19,15,0,0
2020-05-20,15,0,1
2020-05-21,19,0,0
2020-05-22,8,0,0
2020-05-23,91,0,2
2020-05-24,73,2,3
2020-05-25,32,1,0
2020-05-26,51,0,6
2020-05-27,69,0,15
2020-05-28,31,0,0
2020-05-29,216,0,23
2020-05-30,33,1,0
2020-05-31,158,0,0
2020-06-01,52,0,120
2020-06-02,84,2,30
2020-06-03,42,1,7
2020-06-04,68,2,38
2020-06-05,62,1,47
2020-06-06,88,0,78
2020-06-07,52,2,106
2020-06-08,56,0,186
2020-06-09,126,0,41
2020-06-10,25,2,76
2020-06-11,93,1,55
2020-06-12,69,5,61
2020-06-13,61,2,130
2020-06-14,34,1,34
2020-06-15,26,0,78
2020-06-16,97,1,27
2020-06-17,81,1,38
2020-06-18,80,0,132
2020-06-19,74,0,47
2020-06-20,124,1,17
2020-06-21,43,0,50
2020-06-22,58,1,21
2020-06-23,133,2,81
2020-06-24,88,5,119
2020-06-25,68,1,37
2020-06-26,34,1,64
2020-06-27,66,0,87
2020-06-28,32,1,109
2020-06-29,8,1,93
2020-06-30,50,2,120
2020-07-01,66,0,86
2020-07-02,37,1,88
2020-07-03,64,0,76
2020-07-04,45,0,21
2020-07-05,31,0,22
2020-07-06,37,0,62
2020-07-07,69,1,35
2020-07-08,28,3,29
2020-07-09,47,0,22
2020-07-10,68,0,34
2020-07-11,44,0,12
2020-07-12,120,1,68
2020-07-13,71,2,70
2020-07-14,78,1,11
2020-07-15,99,0,81
2020-07-16,197,0,47
2020-07-17,120,1,26
2020-07-18,174,1,60
2020-07-19,239,0,35
2020-07-20,127,3,96
2020-07-21,207,0,85
2020-07-22,451,2,52
2020-07-23,145,3,50
2020-07-24,272,2,42
2020-07-25,244,1,54
2020-07-26,143,0,71
2020-07-27,224,3,109
2020-07-28,259,4,45
2020-07-29,279,2,91
2020-07-30,199,4,185
2020-07-31,118,4,172
2020-08-01,264,3,162
2020-08-02,146,3,107
2020-08-03,207,4,101
2020-08-04,208,5,309
2020-08-05,246,3,386
2020-08-06,369,4,194
2020-08-07,278,10,304
2020-08-08,501,5,232
2020-08-09,230,8,171
2020-08-10,389,9,167
2020-08-11,411,2,169
2020-08-12,454,4,217
2020-08-13,416,3,327
2020-08-14,313,4,488
2020-08-15,325,4,246
2020-08-16,235,1,352
2020-08-17,318,6,385
2020-08-18,468,6,239
2020-08-19,264,14,408
2020-08-20,411,9,301
2020-08-21,447,5,243
2020-08-22,483,3,345
2020-08-23,558,5,459
2020-08-24,405,7,432
2020-08-25,485,6,289
2020-08-26,535,6,323
2020-08-27,728,9,251
2020-08-28,588,11,349
2020-08-29,706,11,400
2020-08-30,664,7,480
2020-08-31,592,12,604
2020-09-01,571,11,404
2020-09-02,836,11,425
2020-09-03,946,9,508
2020-09-04,831,12,502
2020-09-05,950,18,535
2020-09-06,668,11,591
2020-09-07,807,7,473
2020-09-08,658,12,427
2020-09-09,1117,12,789
2020-09-10,1015,5,521
2020-09-11,995,11,645
2020-09-12,1115,14,603
2020-09-13,1637,12,1009
2020-09-14,1043,15,1037
2020-09-15,1391,9,1008
2020-09-16,1540,9,1192
2020-09-17,1192,13,533
2020-09-18,868,4,1285
2020-09-19,2078,14,878
2020-09-20,878,13,855
2020-09-21,814,10,1172
2020-09-22,874,11,1107
2020-09-23,1069,17,1016
2020-09-24,684,13,1031
2020-09-25,928,13,1488
2020-09-26,949,11,1007
2020-09-27,764,8,813
2020-09-28,457,6,1184
2020-09-29,493,11,1413
2020-09-30,1005,20,976
2020-10-01,248,14,801
2020-10-02,311,11,340
2020-10-03,503,12,919
2020-10-04,1419,4,392
2020-10-05,510,17,881
2020-10-06,338,8,600
2020-10-07,630,11,663
2020-10-08,400,14,904
2020-10-09,704,14,1239
2020-10-10,462,18,412
2020-10-11,526,13,456
2020-10-12,296,15,664
2020-10-13,294,20,665
2020-10-14,429,14,827
2020-10-15,423,18,833
2020-10-16,549,15,524
2020-10-17,606,95,665
2020-10-18,376,3,162
2020-10-19,336,6,504
2020-10-20,241,13,376
2020-10-21,505,14,770
2020-10-22,402,8,568
2020-10-23,288,11,518
2020-10-24,359,5,451
2020-10-25,221,9,319
2020-10-26,368,8,700
2020-10-27,213,6,422
2020-10-28,304,2,463
2020-10-29,305,0,456
2020-10-30,349,2,242
2020-10-31,413,12,152
2020-11-01,222,4,178
2020-11-02,331,2,441
2020-11-03,316,4,409
2020-11-04,388,5,270
2020-11-05,480,9,602
2020-11-06,473,9,404
2020-11-07,498,7,337
2020-11-08,243,2,155
2020-11-09,398,10,205
2020-11-10,328,5,505
2020-11-11,783,6,471
2020-11-12,451,7,532
2020-11-13,467,4,300
2020-11-14,296,5,164
2020-11-15,213,5,218
2020-11-16,243,9,441
2020-11-17,429,3,440
2020-11-18,420,9,425
2020-11-19,386,5,388
2020-11-20,512,5,585
2020-11-21,585,8,458
2020-11-22,466,9,251
2020-11-23,376,7,428
2020-11-24,528,18,173
2020-11-25,482,5,444
2020-11-26,355,11,317
2020-11-27,530,5,391
2020-11-28,424,13,342
2020-11-29,389,8,278
2020-11-30,455,9,352
2020-12-01,473,7,538
2020-12-02,516,13,473
2020-12-03,491,12,433
2020-12-04,618,10,560
2020-12-05,680,8,457
2020-12-06,424,4,346
2020-12-07,512,10,471
2020-12-08,632,12,436
2020-12-09,515,13,425
2020-12-10,830,12,513
2020-12-11,725,9,508
2020-12-12,728,10,435
2020-12-13,490,4,396
2020-12-14,577,6,707
2020-12-15,496,11,524
2020-12-16,567,3,498
2020-12-17,620,9,676
2020-12-18,580,15,547
2020-12-19,584,9,556
2020-12-20,464,5,347
2020-12-21,448,13,1013
2020-12-22,611,13,655
2020-12-23,564,8,547
2020-12-24,436,11,579
2020-12-25,468,5,271
2020-12-26,374,13,416
2020-12-27,427,7,229
2020-12-28,205,6,305
2020-12-29,317,6,555
2020-12-30,449,9,724
2020-12-31,304,5,539
2021-01-01,361,6,492
2021-01-02,263,7,463
2021-01-03,267,5,244
2021-01-04,301,8,695
2021-01-05,254,9,483
2021-01-06,227,5,415
2021-01-07,249,6,439
2021-01-08,269,7,390
2021-01-09,287,6,243
2021-01-10,223,5,303
2021-01-11,156,5,523
2021-01-12,184,11,276
2021-01-13,209,4,289
2021-01-14,154,3,187
2021-01-15,141,6,234
2021-01-16,226,4,272
2021-01-17,112,5,98
2021-01-18,120,6,330
2021-01-19,116,2,251
2021-01-20,153,3,131
2021-01-21,162,4,283
2021-01-22,110,3,183
2021-01-23,122,0,212
2021-01-24,54,2,25
2021-01-25,62,4,254
2021-01-26,39,1,102
2021-01-27,85,3,96
2021-01-28,82,3,178
2021-01-29,78,0,116
